Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2022-08-16,ADANIENT,2879.0,2986.0,2871.0,2975.85,3.717,-0.278,3.364,3.717,0.278,0.278,16,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-17,ADANIENT,2986.0,3028.55,2980.0,3008.65,1.425,-0.201,0.759,1.425,0.201,0.201,17,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-18,ADANIENT,3005.0,3186.0,3004.0,3153.65,6.023,-0.033,4.947,6.023,0.033,0.033,18,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-19,ADANIENT,3178.0,3258.9,3075.25,3130.2,2.546,-3.233,-1.504,3.233,2.546,2.546,19,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-22,ADANIENT,3134.0,3191.8,3029.2,3051.6,1.844,-3.344,-2.629,3.344,1.844,1.844,22,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-23,ADANIENT,3032.65,3074.0,2927.4,3030.65,1.363,-3.471,-0.066,3.471,1.363,1.363,23,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-24,ADANIENT,3038.0,3153.0,2986.0,3134.65,3.785,-1.712,3.181,3.785,1.712,1.712,24,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-25,ADANIENT,3167.0,3177.8,3055.7,3066.35,0.341,-3.514,-3.178,3.514,0.341,0.341,25,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-26,ADANIENT,3080.0,3172.95,3078.0,3139.55,3.018,-0.065,1.933,3.018,0.065,0.065,26,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-29,ADANIENT,3055.0,3166.45,3037.85,3142.6,3.648,-0.561,2.867,3.648,0.561,0.561,29,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-08-30,ADANIENT,3165.0,3263.1,3161.0,3194.35,3.1,-0.126,0.927,3.1,0.126,0.126,30,8,2022,0.35000000000000003,6.0,0.0,0.0,0.0
2022-09-01,ADANIENT,3200.0,3245.0,3184.4,3233.25,1.406,-0.487,1.039,1.406,0.487,0.487,1,9,2022,0.35000000000000003,6.0,-0.7000000000000001,-0.7000000000000001,0.993
2022-09-02,ADANIENT,3261.0,3369.4,3225.0,3355.8,3.324,-1.104,2.907,3.324,1.104,1.104,2,9,2022,0.35000000000000003,6.0,-0.7000000000000001,-1.4000000000000001,0.986049
2022-09-05,ADANIENT,3374.1,3431.8,3313.0,3346.55,1.71,-1.811,-0.817,1.811,1.71,1.71,5,9,2022,0.35000000000000003,6.0,-0.7000000000000001,-2.1,0.9791466569999999
2022-09-06,ADANIENT,3370.0,3447.6,3355.0,3435.8,2.303,-0.445,1.953,2.303,0.445,0.445,6,9,2022,0.35000000000000003,6.0,-0.7000000000000001,-2.8000000000000003,0.9722926304009999
2022-09-07,ADANIENT,3435.8,3487.95,3406.1,3473.75,1.518,-0.864,1.105,1.518,0.864,0.864,7,9,2022,0.35000000000000003,6.0,-0.7000000000000001,-3.5000000000000004,0.9654865819881929
2022-09-08,ADANIENT,3499.0,3501.5,3450.0,3462.8,0.071,-1.4,-1.035,1.4,0.071,0.071,8,9,2022,0.35000000000000003,6.0,0.6849999999999998,-2.8150000000000004,0.9721001650748121
2022-09-09,ADANIENT,3479.0,3507.95,3415.15,3451.2,0.832,-1.835,-0.799,1.835,0.832,0.832,9,9,2022,0.35000000000000003,6.0,-0.7000000000000001,-3.5150000000000006,0.9652954639192884
2022-09-12,ADANIENT,3465.0,3495.5,3457.9,3463.8,0.88,-0.205,-0.035,0.88,0.205,0.205,12,9,2022,0.35000000000000003,6.0,-0.31500000000000006,-3.8300000000000005,0.9622547832079427
2022-09-13,ADANIENT,3478.0,3568.9,3421.3,3555.8,2.614,-1.63,2.237,2.614,1.63,1.63,13,9,2022,0.35000000000000003,6.0,-0.7000000000000001,-4.53,0.955518999725487
2022-09-14,ADANIENT,3518.0,3608.0,3511.0,3572.1,2.558,-0.199,1.538,2.558,0.199,0.199,14,9,2022,0.35000000000000003,6.0,1.188,-3.3420000000000005,0.9668705654422257
2022-09-15,ADANIENT,3590.0,3767.95,3575.0,3748.7,4.957,-0.418,4.421,4.957,0.418,0.418,15,9,2022,0.35000000000000003,6.0,-0.7000000000000001,-4.042000000000001,0.9601024714841301
2022-09-16,ADANIENT,3755.0,3866.95,3614.6,3702.2,2.981,-3.739,-1.406,3.739,2.981,2.981,16,9,2022,0.35000000000000003,6.0,-0.7000000000000001,-4.742000000000001,0.9533817541837412
