symbol,month,year,current_trgt,current_stp,prev_ftrgt,prev_fstp,tp,cumsum of tp,cumprod of tp,cp
ADANIENT,8,2022,6,0.35,0,0,0,0,0,0
ADANIENT,9,2022,6.9,1.11,6,0.35,-7.091,-7.091,0.92909,0.9309
ADANIENT,10,2022,4.6,0.01,6.9,1.11,-5.971,-13.062,0.873614036,0.9393
ADANIENT,11,2022,7.3,0.3,4.6,0.01,0.02,-13.042,0.873788759,1.0002
ADANIENT,12,2022,6.9,0.73,7.3,0.3,-3.398,-16.44,0.844097417,0.9658
ADANIENT,1,2023,18.6,0.35,6.9,0.73,1.905,-14.535,0.860177473,1.0143
ADANIENT,2,2023,35.1,3.88,18.6,0.35,23.9,9.365,1.065759889,1.2322
ADANIENT,3,2023,11.8,0.97,35.1,3.88,-20.277,-10.912,0.849655756,0.8023
ADANIENT,4,2023,5.1,0.99,11.8,0.97,-6.463,-17.375,0.794742505,0.9358
ADANIENT,5,2023,14.4,1.52,5.1,0.99,1.396,-15.979,0.80583711,1.0099
ADANIENT,6,2023,9.5,0.27,14.4,1.52,0.838,-15.141,0.812590025,1.0052
ADANIENT,7,2023,1.8,0.63,9.5,0.27,-7.348,-22.489,0.75288091,0.9288
ADANIENT,8,2023,7.6,0.72,1.8,0.63,-2.614,-25.103,0.733200603,0.9728
ADANIENT,9,2023,3.5,0.17,7.6,0.72,-2.123,-27.226,0.717634754,0.9776
ADANIENT,10,2023,3.6,0.62,3.5,0.17,6.173,-21.053,0.761934347,1.0625
ADANIENT,11,2023,9.1,1.13,3.6,0.62,3.814,-17.239,0.790994523,1.0371
ADANIENT,12,2023,18.5,0.01,9.1,1.13,4.204,-13.035,0.824247933,1.0372
ADANIENT,1,2024,5.5,0.4,18.5,0.01,3.497,-9.538,0.853071883,1.0348
ADANIENT,2,2024,2.1,0.46,5.5,0.4,-4.04,-13.578,0.818607779,0.9594
ADANIENT,3,2024,8.7,0.62,2.1,0.46,-5.479,-19.057,0.773756259,0.9458
ADANIENT,4,2024,1.5,0.04,8.7,0.62,-8.666,-27.723,0.706702542,0.9163
ADANIENT,5,2024,7.8,0.71,1.5,0.04,1.824,-25.899,0.719592796,1.0182
ADANIENT,6,2024,22.3,0.01,7.8,0.71,2.079,-23.82,0.73455313,1.0175
ADANIENT,7,2024,3.8,0.6,22.3,0.01,-0.44,-24.26,0.731321096,0.9956
ADANIENT,8,2024,2.7,0.47,3.8,0.6,-0.997,-25.257,0.724029825,0.9894
