Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit
2022-08-16,ADANIGREEN,2188.85,2227.8,2174.15,2218.2,1.779,-0.672,1.341,1.779,0.672,0.672,16,8,2022,0.01,9.5,-0.02
2022-08-17,ADANIGREEN,2223.3,2256.45,2207.15,2227.05,1.491,-0.726,0.169,1.491,0.726,0.726,17,8,2022,0.01,9.5,-0.02
2022-08-18,ADANIGREEN,2227.7,2343.7,2201.0,2296.35,5.207,-1.199,3.082,5.207,1.199,1.199,18,8,2022,0.01,9.5,-0.02
2022-08-19,ADANIGREEN,2315.0,2484.0,2315.0,2411.35,7.3,0.0,4.162,7.3,0.0,0.0,19,8,2022,0.01,9.5,4.152
2022-08-22,ADANIGREEN,2450.0,2560.0,2442.1,2519.75,4.49,-0.322,2.847,4.49,0.322,0.322,22,8,2022,0.01,9.5,-0.02
2022-08-23,ADANIGREEN,2547.0,2572.0,2347.0,2412.9,0.982,-7.852,-5.265,7.852,0.982,0.982,23,8,2022,0.01,9.5,-0.02
2022-08-24,ADANIGREEN,2412.0,2412.9,2294.0,2358.85,0.037,-4.892,-2.204,4.892,0.037,0.037,24,8,2022,0.01,9.5,-0.02
2022-08-25,ADANIGREEN,2358.0,2432.95,2316.6,2368.3,3.179,-1.756,0.437,3.179,1.756,1.756,25,8,2022,0.01,9.5,-0.02
2022-08-26,ADANIGREEN,2392.0,2429.7,2376.05,2392.75,1.576,-0.667,0.031,1.576,0.667,0.667,26,8,2022,0.01,9.5,-0.02
2022-08-29,ADANIGREEN,2300.0,2375.0,2265.4,2337.85,3.261,-1.504,1.646,3.261,1.504,1.504,29,8,2022,0.01,9.5,-0.02
2022-08-30,ADANIGREEN,2372.45,2450.0,2365.05,2436.2,3.269,-0.312,2.687,3.269,0.312,0.312,30,8,2022,0.01,9.5,-0.02
2022-09-01,ADANIGREEN,2431.5,2431.5,2375.1,2393.1,0.0,-2.32,-1.579,2.32,0.0,0.0,1,9,2022,0.01,9.5,1.569
2022-09-02,ADANIGREEN,2424.85,2446.9,2350.35,2383.1,0.909,-3.072,-1.722,3.072,0.909,0.909,2,9,2022,0.01,9.5,-0.02
2022-09-05,ADANIGREEN,2402.5,2416.85,2343.0,2353.8,0.597,-2.477,-2.027,2.477,0.597,0.597,5,9,2022,0.01,9.5,-0.02
2022-09-06,ADANIGREEN,2379.9,2411.35,2362.1,2374.9,1.321,-0.748,-0.21,1.321,0.748,0.748,6,9,2022,0.01,9.5,-0.02
2022-09-07,ADANIGREEN,2372.5,2404.9,2338.85,2346.95,1.366,-1.418,-1.077,1.418,1.366,1.366,7,9,2022,0.01,9.5,-0.02
2022-09-08,ADANIGREEN,2370.0,2378.0,2316.0,2334.05,0.338,-2.278,-1.517,2.278,0.338,0.338,8,9,2022,0.01,9.5,-0.02
2022-09-09,ADANIGREEN,2368.0,2377.95,2301.55,2315.9,0.42,-2.806,-2.2,2.806,0.42,0.42,9,9,2022,0.01,9.5,-0.02
2022-09-12,ADANIGREEN,2331.0,2365.85,2316.15,2355.95,1.495,-0.637,1.07,1.495,0.637,0.637,12,9,2022,0.01,9.5,-0.02
2022-09-13,ADANIGREEN,2387.85,2390.0,2313.1,2335.65,0.09,-3.13,-2.186,3.13,0.09,0.09,13,9,2022,0.01,9.5,-0.02
2022-09-14,ADANIGREEN,2200.0,2333.0,2200.0,2293.6,6.045,0.0,4.255,6.045,0.0,0.0,14,9,2022,0.01,9.5,4.245
2022-09-15,ADANIGREEN,2315.0,2358.4,2289.55,2343.9,1.875,-1.099,1.248,1.875,1.099,1.099,15,9,2022,0.01,9.5,-0.02
2022-09-16,ADANIGREEN,2333.0,2344.75,2290.3,2316.6,0.504,-1.83,-0.703,1.83,0.504,0.504,16,9,2022,0.01,9.5,-0.02
2022-09-19,ADANIGREEN,2326.0,2368.6,2292.3,2346.35,1.831,-1.449,0.875,1.831,1.449,1.449,19,9,2022,0.01,9.5,-0.02
2022-09-20,ADANIGREEN,2370.4,2430.0,2357.05,2399.95,2.514,-0.563,1.247,2.514,0.563,0.563,20,9,2022,0.01,9.5,-0.02
2022-09-21,ADANIGREEN,2409.7,2437.0,2312.1,2362.8,1.133,-4.05,-1.946,4.05,1.133,1.133,21,9,2022,0.01,9.5,-0.02
2022-09-22,ADANIGREEN,2369.9,2389.0,2325.0,2363.6,0.806,-1.895,-0.266,1.895,0.806,0.806,22,9,2022,0.01,9.5,-0.02
2022-09-23,ADANIGREEN,2364.0,2378.0,2305.0,2323.85,0.592,-2.496,-1.698,2.496,0.592,0.592,23,9,2022,0.01,9.5,-0.02
2022-09-26,ADANIGREEN,2299.8,2299.8,2181.0,2210.35,0.0,-5.166,-3.889,5.166,0.0,0.0,26,9,2022,0.01,9.5,3.879
2022-09-27,ADANIGREEN,2230.95,2269.85,2126.45,2146.3,1.744,-4.684,-3.794,4.684,1.744,1.744,27,9,2022,0.01,9.5,-0.02
2022-09-28,ADANIGREEN,2114.0,2143.8,2040.0,2051.05,1.41,-3.5,-2.978,3.5,1.41,1.41,28,9,2022,0.01,9.5,-0.02
2022-09-29,ADANIGREEN,2103.85,2138.0,1986.15,2004.05,1.623,-5.595,-4.744,5.595,1.623,1.623,29,9,2022,0.01,9.5,-0.02
