Date,OpenPrice,HighPrice,LowPrice,ClosePrice,"Shares Traded ",Turnover (₹ Cr)
01-Dec-15,17456.75,17495.45,17353.85,17398.55,40750147,1395.83
02-Dec-15,17457.15,17470.85,17164,17218.5,40854274,1263.18
03-Dec-15,17137.8,17219,17080.25,17110.1,41691597,1323.84
04-Dec-15,17009.45,17009.45,16880.35,16897.3,47280436,1522.98
07-Dec-15,17018,17031.85,16921.75,16947,34913097,1162.91
08-Dec-15,16888.65,16943.05,16783.65,16801.15,43130595,1340.55
09-Dec-15,16762.15,16868.6,16626.55,16660.75,41301150,1274.24
10-Dec-15,16697.2,16745.25,16573.15,16711.05,50821530,1699.95
11-Dec-15,16751.35,16758.7,16260.1,16342.5,79358482,2386.65
14-Dec-15,16212.4,16440.85,16205.8,16350.65,60757601,1861.6
15-Dec-15,16342.35,16425.15,16188.05,16398.65,56408351,1714.81
16-Dec-15,16464.5,16640.4,16363.9,16579.4,67659792,1985.14
17-Dec-15,16704.05,16771.8,16544.65,16741.5,72117905,2081.73
18-Dec-15,16719.45,16737.7,16572.75,16594.3,68363392,2030.29
21-Dec-15,16593.4,16848.6,16580.65,16825.15,43038799,1256.07
22-Dec-15,16810.7,16946.1,16704.15,16749.2,55650655,1569.96
23-Dec-15,16828.35,16913.15,16812.5,16882.5,37200425,1077.83
24-Dec-15,16926.95,16939.6,16756.9,16811,27091752,807.26
28-Dec-15,16843.4,17019,16843.4,16979.15,41135712,1365.1
29-Dec-15,16988.3,17045.55,16921.15,16991.45,36299594,1153.71
30-Dec-15,16997.5,17011.3,16889.05,16917.9,40935766,1101.5
31-Dec-15,16916.05,16972.25,16896.65,16922.2,59187548,1742.66
01-Jan-16,16932.5,17067.45,16824.05,17039.25,29215687,842.48
04-Jan-16,16966.35,16966.35,16575.45,16599.15,52324127,1541.5
05-Jan-16,16652.05,16670.2,16474.85,16542.5,53646729,1398.28
06-Jan-16,16505.45,16614.95,16377.65,16433.15,55221322,1497.85
07-Jan-16,16256.55,16256.55,16049.75,16073.85,76230933,2123.7
08-Jan-16,16135.4,16229,16104.1,16142.65,53483569,1559.14
11-Jan-16,15979.05,16156.8,15840.6,16016.25,67298931,1807.79
12-Jan-16,16080.4,16080.4,15699.4,15734.8,98499719,2317.63
13-Jan-16,15835.05,15956.25,15532.25,15871.85,113380181,2788.44
14-Jan-16,15612.1,15803.2,15453.4,15609.8,81791556,2078.88
15-Jan-16,15621.85,15650.7,15154.35,15206.3,98894244,2370.35
18-Jan-16,15165.2,15270.4,14956.95,15020.8,121191177,2858.69
19-Jan-16,15086.75,15338.2,15086.75,15269.65,85097353,2244.94
20-Jan-16,15059.5,15533.45,14754.65,14935.5,92651950,2387.1
