symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
COALINDIA,8,2022,224.4,235.5,214.05,234.8,4.947,-4.612,4.635,4.947,4.612,4.612,0.03,2.9000000000000004,-0.06,-1.98,0.9802
COALINDIA,9,2022,234.35,240.5,207.85,212.25,2.624,-11.308,-9.43,11.308,2.624,2.624,0.03,2.9000000000000004,-0.06,-3.96,0.96079204
COALINDIA,10,2022,212.25,247.8,212.25,245.95,16.749,0.0,15.878,16.749,0.0,0.0,0.03,2.9000000000000004,2.8700000000000006,-2.05,0.9791431679639998
COALINDIA,11,2022,247.0,263.4,226.35,227.25,6.64,-8.36,-7.996,8.36,6.64,6.64,0.03,2.9000000000000004,-0.06,-4.029999999999999,0.9597561332383124
COALINDIA,12,2022,228.4,234.45,214.2,225.05,2.649,-6.217,-1.467,6.217,2.649,2.649,0.03,2.9000000000000004,-0.06,-6.01,0.940752961800194
COALINDIA,1,2023,226.75,232.0,211.1,224.85,2.315,-6.902,-0.838,6.902,2.315,2.315,0.03,2.9000000000000004,-0.06,-7.99,0.92212605315655
COALINDIA,2,2023,228.0,228.0,209.15,215.4,0.0,-8.268,-5.526,8.268,0.0,0.0,0.03,2.9000000000000004,2.8700000000000006,-6.08,0.93973866077184
COALINDIA,3,2023,215.4,226.95,207.6,213.65,5.362,-3.621,-0.812,5.362,3.621,3.621,0.03,2.9000000000000004,-0.06,-8.06,0.9211318352885576
COALINDIA,4,2023,214.1,234.75,213.8,233.1,9.645,-0.14,8.874,9.645,0.14,0.14,0.03,2.9000000000000004,-0.06,-6.15,0.938725453342569
COALINDIA,5,2023,233.2,247.9,230.0,241.25,6.304,-1.372,3.452,6.304,1.372,1.372,0.03,2.9000000000000004,-0.06,-8.13,0.920138689366386
COALINDIA,6,2023,230.4,233.4,223.25,231.0,1.302,-3.103,0.26,3.103,1.302,1.302,0.03,2.9000000000000004,-0.06,-10.11,0.9019199433169316
COALINDIA,7,2023,231.5,237.3,226.85,229.25,2.505,-2.009,-0.972,2.505,2.009,2.009,0.03,2.9000000000000004,-0.06,-12.090000000000002,0.8840619284392564
COALINDIA,8,2023,230.0,243.15,227.0,230.05,5.717,-1.304,0.022,5.717,1.304,1.304,0.03,2.9000000000000004,-0.06,-14.070000000000002,0.866557502256159
COALINDIA,9,2023,230.7,297.5,230.65,295.2,28.955,-0.022,27.958,28.955,0.022,0.022,0.03,2.9000000000000004,2.8700000000000006,-12.160000000000002,0.8831087505492515
COALINDIA,10,2023,297.05,319.75,283.05,314.25,7.642,-4.713,5.79,7.642,4.713,4.713,0.03,2.9000000000000004,-0.06,-14.140000000000002,0.8656231972883763
COALINDIA,11,2023,313.2,359.0,305.85,342.15,14.623,-2.347,9.243,14.623,2.347,2.347,0.03,2.9000000000000004,-0.06,-16.12,0.8484838579820665
COALINDIA,12,2023,343.8,382.5,342.3,376.0,11.257,-0.436,9.366,11.257,0.436,0.436,0.03,2.9000000000000004,-0.06,-14.21,0.8646898996695239
COALINDIA,1,2024,377.8,415.8,368.0,406.15,10.058,-2.594,7.504,10.058,2.594,2.594,0.03,2.9000000000000004,-0.06,-16.19,0.8475690396560673
COALINDIA,2,2024,408.8,487.6,402.5,436.7,19.276,-1.541,6.825,19.276,1.541,1.541,0.03,2.9000000000000004,-0.06,-18.17,0.8307871726708772
COALINDIA,3,2024,438.0,465.4,401.2,434.1,6.256,-8.402,-0.89,8.402,6.256,6.256,0.03,2.9000000000000004,-0.06,-20.15,0.8143375866519938
COALINDIA,4,2024,436.7,463.45,428.05,454.3,6.125,-1.981,4.03,6.125,1.981,1.981,0.03,2.9000000000000004,-0.06,-22.130000000000003,0.7982137024362843
COALINDIA,5,2024,457.55,507.35,434.7,491.2,10.884,-4.994,7.354,10.884,4.994,4.994,0.03,2.9000000000000004,-0.06,-24.110000000000003,0.7824090711280458
COALINDIA,6,2024,515.0,527.4,410.8,473.15,2.408,-20.233,-8.126,20.233,2.408,2.408,0.03,2.9000000000000004,-0.06,-26.090000000000003,0.7669173715197105
COALINDIA,7,2024,473.35,525.6,464.55,522.2,11.038,-1.859,10.32,11.038,1.859,1.859,0.03,2.9000000000000004,-0.06,-28.070000000000004,0.7517324075636203
COALINDIA,8,2024,535.0,542.25,497.55,538.85,1.355,-7.0,0.72,7.0,1.355,1.355,0.03,2.9000000000000004,-0.06,-30.050000000000004,0.7368481058938605
