,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
0,0,0,0,0,0,0,0,0,0,0,0,2022-08-16,IDEA,8.7,9.0,8.7,8.85,3.448,0.0,1.724,3.448,0.0,0.0,16,8,2022,0.01,22,1.714,1.714,1.01714
1,1,1,1,1,1,1,1,1,1,1,1,2022-08-17,IDEA,8.85,9.1,8.8,9.0,2.825,-0.565,1.695,2.825,0.565,0.565,17,8,2022,0.01,22,-0.02,1.694,1.0169365719999999
2,2,2,2,2,2,2,2,2,2,2,2,2022-08-18,IDEA,8.95,9.1,8.9,8.9,1.676,-0.559,-0.559,1.676,0.559,0.559,18,8,2022,0.01,22,-0.02,1.674,1.0167331846855998
3,3,3,3,3,3,3,3,3,3,3,3,2022-08-19,IDEA,8.95,9.05,8.75,8.8,1.117,-2.235,-1.676,2.235,1.117,1.117,19,8,2022,0.01,22,-0.02,1.654,1.0165298380486627
4,4,4,4,4,4,4,4,4,4,4,4,2022-08-22,IDEA,8.8,8.8,8.6,8.65,0.0,-2.273,-1.705,2.273,0.0,0.0,22,8,2022,0.01,22,1.695,3.349,1.0337600188035876
5,5,5,5,5,5,5,5,5,5,5,5,2022-08-23,IDEA,8.6,8.9,8.5,8.85,3.488,-1.163,2.907,3.488,1.163,1.163,23,8,2022,0.01,22,-0.02,3.329,1.0335532667998268
6,6,6,6,6,6,6,6,6,6,6,6,2022-08-24,IDEA,8.85,9.35,8.85,9.2,5.65,0.0,3.955,5.65,0.0,0.0,24,8,2022,0.01,22,3.945,7.274,1.07432694317508
7,7,7,7,7,7,7,7,7,7,7,7,2022-08-25,IDEA,9.25,9.55,9.1,9.1,3.243,-1.622,-1.622,3.243,1.622,1.622,25,8,2022,0.01,22,-0.02,7.2540000000000004,1.074112077786445
8,8,8,8,8,8,8,8,8,8,8,8,2022-08-26,IDEA,9.2,9.35,9.05,9.15,1.63,-1.63,-0.543,1.63,1.63,1.63,26,8,2022,0.01,22,-0.02,7.234000000000001,1.0738972553708876
9,9,9,9,9,9,9,9,9,9,9,9,2022-08-29,IDEA,8.95,9.05,8.85,8.85,1.117,-1.117,-1.117,1.117,1.117,1.117,29,8,2022,0.01,22,-0.02,7.214000000000001,1.0736824759198136
10,10,10,10,10,10,10,10,10,10,10,10,2022-08-30,IDEA,8.95,9.25,8.9,9.05,3.352,-0.559,1.117,3.352,0.559,0.559,30,8,2022,0.01,22,-0.02,7.194000000000002,1.0734677394246297
11,11,11,11,11,11,11,11,11,11,11,11,2022-09-01,IDEA,8.95,9.3,8.9,9.1,3.911,-0.559,1.676,3.911,0.559,0.559,1,9,2022,0.01,22,-0.02,7.174000000000002,1.0732530458767449
12,12,12,12,12,12,12,12,12,12,12,12,2022-09-02,IDEA,9.1,9.2,8.95,8.95,1.099,-1.648,-1.648,1.648,1.099,1.099,2,9,2022,0.01,22,-0.02,7.154000000000003,1.0730383952675695
13,13,13,13,13,13,13,13,13,13,13,13,2022-09-05,IDEA,9.05,9.45,9.05,9.3,4.42,0.0,2.762,4.42,0.0,0.0,5,9,2022,0.01,22,2.752,9.906000000000002,1.102568411905333
14,14,14,14,14,14,14,14,14,14,14,14,2022-09-06,IDEA,9.3,9.4,9.1,9.15,1.075,-2.151,-1.613,2.151,1.075,1.075,6,9,2022,0.01,22,-0.02,9.886000000000003,1.102347898222952
15,15,15,15,15,15,15,15,15,15,15,15,2022-09-07,IDEA,9.1,10.05,9.05,9.75,10.44,-0.549,7.143,10.44,0.549,0.549,7,9,2022,0.01,22,-0.02,9.866000000000003,1.1021274286433074
16,16,16,16,16,16,16,16,16,16,16,16,2022-09-08,IDEA,9.9,10.05,9.6,9.7,1.515,-3.03,-2.02,3.03,1.515,1.515,8,9,2022,0.01,22,-0.02,9.846000000000004,1.1019070031575788
17,17,17,17,17,17,17,17,17,17,17,17,2022-09-09,IDEA,9.85,10.05,9.5,9.55,2.03,-3.553,-3.046,3.553,2.03,2.03,9,9,2022,0.01,22,-0.02,9.826000000000004,1.1016866217569474
