,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
0,0,0,0,2022-08-16,ITC,308.55,311.5,308.55,310.55,0.956,0.0,0.648,0.956,0.0,0.0,16,8,2022,0.02,2.0,0.628,0.628,1.00628
1,1,1,1,2022-08-17,ITC,311.7,313.25,311.0,312.55,0.497,-0.225,0.273,0.497,0.225,0.225,17,8,2022,0.02,2.0,-0.04,0.588,1.005877488
2,2,2,2,2022-08-18,ITC,313.0,316.0,312.6,315.65,0.958,-0.128,0.847,0.958,0.128,0.128,18,8,2022,0.02,2.0,-0.04,0.5479999999999999,1.0054751370048
3,3,3,3,2022-08-19,ITC,316.15,316.15,311.2,312.0,0.0,-1.566,-1.313,1.566,0.0,0.0,19,8,2022,0.02,2.0,1.293,1.8409999999999997,1.0184759305262723
4,4,4,4,2022-08-22,ITC,311.2,317.0,311.0,314.4,1.864,-0.064,1.028,1.864,0.064,0.064,22,8,2022,0.02,2.0,-0.04,1.8009999999999997,1.018068540154062
5,5,5,5,2022-08-23,ITC,312.95,316.0,312.1,315.9,0.975,-0.272,0.943,0.975,0.272,0.272,23,8,2022,0.02,2.0,-0.04,1.7609999999999997,1.0176613127380003
6,6,6,6,2022-08-24,ITC,315.75,319.45,313.05,314.1,1.172,-0.855,-0.523,1.172,0.855,0.855,24,8,2022,0.02,2.0,-0.04,1.7209999999999996,1.0172542482129052
7,7,7,7,2022-08-25,ITC,315.45,316.4,311.6,312.35,0.301,-1.22,-0.983,1.22,0.301,0.301,25,8,2022,0.02,2.0,-0.04,1.6809999999999996,1.01684734651362
8,8,8,8,2022-08-26,ITC,314.75,315.4,312.0,312.9,0.207,-0.874,-0.588,0.874,0.207,0.207,26,8,2022,0.02,2.0,-0.04,1.6409999999999996,1.0164406075750148
9,9,9,9,2022-08-29,ITC,310.0,314.95,308.85,313.55,1.597,-0.371,1.145,1.597,0.371,0.371,29,8,2022,0.02,2.0,-0.04,1.6009999999999995,1.0160340313319849
10,10,10,10,2022-08-30,ITC,314.25,321.4,314.25,320.5,2.275,0.0,1.989,2.275,0.0,0.0,30,8,2022,0.02,2.0,1.98,3.5809999999999995,1.0361515051523582
11,11,11,11,2022-09-01,ITC,319.5,321.9,316.0,317.6,0.751,-1.095,-0.595,1.095,0.751,0.751,1,9,2022,0.02,2.0,-0.04,3.5409999999999995,1.0357370445502974
12,12,12,12,2022-09-02,ITC,318.7,324.25,318.05,323.15,1.741,-0.204,1.396,1.741,0.204,0.204,2,9,2022,0.02,2.0,-0.04,3.5009999999999994,1.0353227497324773
13,13,13,13,2022-09-05,ITC,325.0,329.6,323.75,328.85,1.415,-0.385,1.185,1.415,0.385,0.385,5,9,2022,0.02,2.0,-0.04,3.4609999999999994,1.0349086206325844
14,14,14,14,2022-09-06,ITC,330.0,330.0,326.4,327.15,0.0,-1.091,-0.864,1.091,0.0,0.0,6,9,2022,0.02,2.0,0.844,4.305,1.0436432493907233
15,15,15,15,2022-09-07,ITC,326.0,328.3,325.25,326.1,0.706,-0.23,0.031,0.706,0.23,0.23,7,9,2022,0.02,2.0,-0.04,4.265,1.043225792090967
16,16,16,16,2022-09-08,ITC,329.0,330.6,327.5,329.9,0.486,-0.456,0.274,0.486,0.456,0.456,8,9,2022,0.02,2.0,-0.04,4.225,1.0428085017741309
17,17,17,17,2022-09-09,ITC,330.6,333.3,330.0,330.5,0.817,-0.181,-0.03,0.817,0.181,0.181,9,9,2022,0.02,2.0,-0.04,4.185,1.0423913783734213
