,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
0,2022-08-16,NTPC,159.0,159.8,156.95,158.75,0.503,-1.289,-0.157,1.289,0.503,0.503,16,8,2022,0.01,29.9,-0.02,-0.02,0.9998
1,2022-08-16,NTPC,1250.0,1250.0,1200.42,1200.42,0.0,-3.966,-3.966,3.966,0.0,0.0,16,8,2022,0.01,29.9,3.956,3.936,1.039352088
2,2022-08-16,NTPC,1368.9,1368.9,1360.0,1360.0,0.0,-0.65,-0.65,0.65,0.0,0.0,16,8,2022,0.01,29.9,0.64,4.576,1.0460039413632
3,2022-08-16,NTPC,13.26,13.35,13.25,13.27,0.679,-0.075,0.075,0.679,0.075,0.075,16,8,2022,0.01,29.9,-0.02,4.556,1.0457947405749275
4,2022-08-16,NTPC,1215.0,1215.0,1215.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8,2022,0.01,29.9,-0.01,4.546,1.04569016110087
5,2022-08-16,NTPC,1105.0,1110.0,1105.0,1110.0,0.452,0.0,0.452,0.452,0.0,0.0,16,8,2022,0.01,29.9,0.442,4.988,1.050312111612936
6,2022-08-16,NTPC,1170.0,1199.99,1170.0,1199.99,2.563,0.0,2.563,2.563,0.0,0.0,16,8,2022,0.01,29.9,2.5530000000000004,7.541,1.0771265798224143
7,2022-08-16,NTPC,1298.0,1298.0,1298.0,1298.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8,2022,0.01,29.9,-0.01,7.531000000000001,1.077018867164432
8,2022-08-17,NTPC,159.0,163.65,159.0,161.45,2.925,0.0,1.541,2.925,0.0,0.0,17,8,2022,0.01,29.9,1.531,9.062000000000001,1.0935080260207195
9,2022-08-17,NTPC,1100.0,1100.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,17,8,2022,0.01,29.9,-0.01,9.052000000000001,1.0933986752181175
10,2022-08-17,NTPC,1200.0,1220.0,1200.0,1219.44,1.667,0.0,1.62,1.667,0.0,0.0,17,8,2022,0.01,29.9,1.61,10.662,1.1110023938891291
11,2022-08-17,NTPC,1359.9,1359.9,1359.9,1359.9,0.0,0.0,0.0,0.0,0.0,0.0,17,8,2022,0.01,29.9,-0.01,10.652000000000001,1.1108912936497402
12,2022-08-17,NTPC,13.27,13.38,13.26,13.33,0.829,-0.075,0.452,0.829,0.075,0.075,17,8,2022,0.01,29.9,-0.02,10.632000000000001,1.1106691153910102
13,2022-08-18,NTPC,161.45,162.65,159.9,160.8,0.743,-0.96,-0.403,0.96,0.743,0.743,18,8,2022,0.01,29.9,-0.02,10.612000000000002,1.110446981567932
14,2022-08-18,NTPC,1360.0,1360.0,1360.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,18,8,2022,0.01,29.9,-0.01,10.602000000000002,1.1103359368697754
15,2022-08-18,NTPC,13.33,13.35,13.25,13.31,0.15,-0.6,-0.15,0.6,0.15,0.15,18,8,2022,0.01,29.9,-0.02,10.582000000000003,1.1101138696824016
16,2022-08-18,NTPC,1215.0,1456.0,1215.0,1456.0,19.835,0.0,19.835,19.835,0.0,0.0,18,8,2022,0.01,29.9,19.825,30.407000000000004,1.3301939443469377
17,2022-08-18,NTPC,1101.21,1105.01,1101.21,1105.01,0.345,0.0,0.345,0.345,0.0,0.0,18,8,2022,0.01,29.9,0.3349999999999999,30.742000000000004,1.3346500940605
18,2022-08-19,NTPC,161.05,161.65,157.15,157.75,0.373,-2.422,-2.049,2.422,0.373,0.373,19,8,2022,0.01,29.9,-0.02,30.722000000000005,1.3343831640416879
19,2022-08-19,NTPC,1360.0,1369.0,1360.0,1361.33,0.662,0.0,0.098,0.662,0.0,0.0,19,8,2022,0.01,29.9,0.088,30.810000000000006,1.3355574212260446
20,2022-08-19,NTPC,13.31,13.35,13.25,13.28,0.301,-0.451,-0.225,0.451,0.301,0.301,19,8,2022,0.01,29.9,-0.02,30.790000000000006,1.3352903097417994
21,2022-08-19,NTPC,1456.0,1456.0,1218.0,1218.0,0.0,-16.346,-16.346,16.346,0.0,0.0,19,8,2022,0.01,29.9,16.336,47.126000000000005,1.5534233347412196
22,2022-08-19,NTPC,1170.01,1170.01,1170.01,1170.01,0.0,0.0,0.0,0.0,0.0,0.0,19,8,2022,0.01,29.9,-0.01,47.11600000000001,1.5532679924077455
23,2022-08-19,NTPC,1245.1,1245.1,1245.1,1245.1,0.0,0.0,0.0,0.0,0.0,0.0,19,8,2022,0.01,29.9,-0.01,47.10600000000001,1.5531126656085048
24,2022-08-22,NTPC,157.3,158.95,156.0,156.5,1.049,-0.826,-0.509,1.049,0.826,0.826,22,8,2022,0.01,29.9,-0.02,47.086000000000006,1.552802043075383
25,2022-08-22,NTPC,1234.5,1234.5,1234.5,1234.5,0.0,0.0,0.0,0.0,0.0,0.0,22,8,2022,0.01,29.9,-0.01,47.07600000000001,1.5526467628710756
26,2022-08-22,NTPC,1099.0,1099.0,1099.0,1099.0,0.0,0.0,0.0,0.0,0.0,0.0,22,8,2022,0.01,29.9,-0.01,47.06600000000001,1.5524914981947886
27,2022-08-22,NTPC,1360.0,1360.0,1360.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,22,8,2022,0.01,29.9,-0.01,47.05600000000001,1.552336249044969
28,2022-08-22,NTPC,13.29,13.36,13.21,13.25,0.527,-0.602,-0.301,0.602,0.527,0.527,22,8,2022,0.01,29.9,-0.02,47.03600000000001,1.5520257817951602
29,2022-08-22,NTPC,1171.01,1219.0,1171.01,1219.0,4.098,0.0,4.098,4.098,0.0,0.0,22,8,2022,0.01,29.9,4.088,51.12400000000001,1.6154725957549463
30,2022-08-22,NTPC,1250.0,1250.0,1249.0,1249.0,0.0,-0.08,-0.08,0.08,0.0,0.0,22,8,2022,0.01,29.9,0.07,51.19400000000001,1.6166034265719746
31,2022-08-23,NTPC,156.45,159.2,155.65,158.65,1.758,-0.511,1.406,1.758,0.511,0.511,23,8,2022,0.01,29.9,-0.02,51.17400000000001,1.6162801058866603
32,2022-08-23,NTPC,1094.16,1094.16,1094.16,1094.16,0.0,0.0,0.0,0.0,0.0,0.0,23,8,2022,0.01,29.9,-0.01,51.16400000000001,1.6161184778760715
33,2022-08-23,NTPC,1379.0,1379.0,1379.0,1379.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8,2022,0.01,29.9,-0.01,51.15400000000001,1.615956866028284
34,2022-08-23,NTPC,13.26,13.35,13.25,13.26,0.679,-0.075,0.0,0.679,0.075,0.075,23,8,2022,0.01,29.9,-0.02,51.13400000000001,1.6156336746550783
35,2022-08-23,NTPC,1218.0,1218.0,1218.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8,2022,0.01,29.9,-0.01,51.12400000000001,1.615472111287613
36,2022-08-23,NTPC,1102.5,1105.61,1102.5,1105.61,0.282,0.0,0.282,0.282,0.0,0.0,23,8,2022,0.01,29.9,0.2719999999999999,51.39600000000001,1.6198661954303153
37,2022-08-23,NTPC,1185.0,1185.0,1185.0,1185.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8,2022,0.01,29.9,-0.01,51.38600000000001,1.6197042088107723
38,2022-08-23,NTPC,1247.0,1247.0,1247.0,1247.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8,2022,0.01,29.9,-0.01,51.37600000000001,1.6195422383898912
39,2022-08-24,NTPC,158.9,163.0,158.0,160.8,2.58,-0.566,1.196,2.58,0.566,0.566,24,8,2022,0.01,29.9,-0.02,51.35600000000001,1.6192183299422132
40,2022-08-24,NTPC,1337.6,1337.6,1337.6,1337.6,0.0,0.0,0.0,0.0,0.0,0.0,24,8,2022,0.01,29.9,-0.01,51.34600000000001,1.619056408109219
41,2022-08-24,NTPC,1240.0,1240.0,1240.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,24,8,2022,0.01,29.9,-0.01,51.33600000000001,1.618894502468408
42,2022-08-24,NTPC,1359.0,1362.0,1352.11,1358.0,0.221,-0.507,-0.074,0.507,0.221,0.221,24,8,2022,0.01,29.9,-0.02,51.31600000000001,1.6185707235679143
43,2022-08-24,NTPC,13.26,14.5,13.26,13.29,9.351,0.0,0.226,9.351,0.0,0.0,24,8,2022,0.01,29.9,0.216,51.53200000000001,1.6220668363308208
