,Unnamed: 0,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
0,0,2022-08-16,ONGC,139.5,141.9,136.1,139.95,1.72,-2.437,0.323,2.437,1.72,1.72,16,8,2022,0.01,21.700000000000003,-0.02,-0.02,0.9998
1,1,2022-08-17,ONGC,139.95,140.8,138.7,139.65,0.607,-0.893,-0.214,0.893,0.607,0.607,17,8,2022,0.01,21.700000000000003,-0.02,-0.04,0.99960004
2,2,2022-08-18,ONGC,138.25,138.3,134.7,135.55,0.036,-2.568,-1.953,2.568,0.036,0.036,18,8,2022,0.01,21.700000000000003,-0.02,-0.06,0.9994001199920001
3,3,2022-08-19,ONGC,137.5,138.5,134.05,134.6,0.727,-2.509,-2.109,2.509,0.727,0.727,19,8,2022,0.01,21.700000000000003,-0.02,-0.08,0.9992002399680017
4,4,2022-08-22,ONGC,134.5,134.5,129.8,131.9,0.0,-3.494,-1.933,3.494,0.0,0.0,22,8,2022,0.01,21.700000000000003,1.923,1.843,1.0184148605825865
5,5,2022-08-23,ONGC,131.9,134.2,130.1,133.75,1.744,-1.365,1.403,1.744,1.365,1.365,23,8,2022,0.01,21.700000000000003,-0.02,1.823,1.0182111776104699
6,6,2022-08-24,ONGC,134.7,137.4,134.5,136.0,2.004,-0.148,0.965,2.004,0.148,0.148,24,8,2022,0.01,21.700000000000003,-0.02,1.803,1.0180075353749478
7,7,2022-08-25,ONGC,137.0,138.15,136.15,136.55,0.839,-0.62,-0.328,0.839,0.62,0.62,25,8,2022,0.01,21.700000000000003,-0.02,1.783,1.0178039338678728
8,8,2022-08-26,ONGC,136.5,138.25,136.1,136.65,1.282,-0.293,0.11,1.282,0.293,0.293,26,8,2022,0.01,21.700000000000003,-0.02,1.763,1.0176003730810992
9,9,2022-08-29,ONGC,134.2,136.6,133.75,135.9,1.788,-0.335,1.267,1.788,0.335,0.335,29,8,2022,0.01,21.700000000000003,-0.02,1.7429999999999999,1.017396853006483
10,10,2022-08-30,ONGC,137.9,139.85,137.55,138.6,1.414,-0.254,0.508,1.414,0.254,0.254,30,8,2022,0.01,21.700000000000003,-0.02,1.7229999999999999,1.0171933736358818
11,11,2022-09-01,ONGC,135.0,136.25,134.15,134.7,0.926,-0.63,-0.222,0.926,0.63,0.63,1,9,2022,0.01,21.700000000000003,-0.02,1.7029999999999998,1.0169899349611546
12,12,2022-09-02,ONGC,134.7,135.75,132.3,132.75,0.78,-1.782,-1.448,1.782,0.78,0.78,2,9,2022,0.01,21.700000000000003,-0.02,1.6829999999999998,1.0167865369741624
13,13,2022-09-05,ONGC,132.9,133.9,132.65,133.4,0.752,-0.188,0.376,0.752,0.188,0.188,5,9,2022,0.01,21.700000000000003,-0.02,1.6629999999999998,1.0165831796667677
14,14,2022-09-06,ONGC,134.1,134.15,131.7,132.1,0.037,-1.79,-1.491,1.79,0.037,0.037,6,9,2022,0.01,21.700000000000003,-0.02,1.6429999999999998,1.0163798630308343
15,15,2022-09-07,ONGC,131.0,132.95,130.05,132.5,1.489,-0.725,1.145,1.489,0.725,0.725,7,9,2022,0.01,21.700000000000003,-0.02,1.6229999999999998,1.0161765870582282
16,16,2022-09-08,ONGC,131.65,134.15,131.5,131.85,1.899,-0.114,0.152,1.899,0.114,0.114,8,9,2022,0.01,21.700000000000003,-0.02,1.6029999999999998,1.0159733517408165
17,17,2022-09-09,ONGC,132.5,134.2,131.95,134.0,1.283,-0.415,1.132,1.283,0.415,0.415,9,9,2022,0.01,21.700000000000003,-0.02,1.5829999999999997,1.0157701570704682
18,18,2022-09-12,ONGC,135.0,135.4,133.6,134.0,0.296,-1.037,-0.741,1.037,0.296,0.296,12,9,2022,0.01,21.700000000000003,-0.02,1.5629999999999997,1.0155670030390542
19,19,2022-09-13,ONGC,134.2,135.15,133.5,133.9,0.708,-0.522,-0.224,0.708,0.522,0.522,13,9,2022,0.01,21.700000000000003,-0.02,1.5429999999999997,1.0153638896384465
20,20,2022-09-14,ONGC,132.45,134.1,132.0,133.2,1.246,-0.34,0.566,1.246,0.34,0.34,14,9,2022,0.01,21.700000000000003,-0.02,1.5229999999999997,1.0151608168605188
21,21,2022-09-15,ONGC,133.6,134.4,132.0,132.6,0.599,-1.198,-0.749,1.198,0.599,0.599,15,9,2022,0.01,21.700000000000003,-0.02,1.5029999999999997,1.0149577846971467
22,22,2022-09-16,ONGC,131.1,132.0,130.0,131.25,0.686,-0.839,0.114,0.839,0.686,0.686,16,9,2022,0.01,21.700000000000003,-0.02,1.4829999999999997,1.0147547931402072
23,23,2022-09-19,ONGC,132.1,134.35,129.7,130.55,1.703,-1.817,-1.173,1.817,1.703,1.703,19,9,2022,0.01,21.700000000000003,-0.02,1.4629999999999996,1.0145518421815791
24,24,2022-09-20,ONGC,131.4,133.6,131.3,133.2,1.674,-0.076,1.37,1.674,0.076,0.076,20,9,2022,0.01,21.700000000000003,-0.02,1.4429999999999996,1.014348931813143
25,25,2022-09-21,ONGC,132.2,133.2,130.05,130.9,0.756,-1.626,-0.983,1.626,0.756,0.756,21,9,2022,0.01,21.700000000000003,-0.02,1.4229999999999996,1.0141460620267804
26,26,2022-09-22,ONGC,130.4,130.85,128.1,128.65,0.345,-1.764,-1.342,1.764,0.345,0.345,22,9,2022,0.01,21.700000000000003,-0.02,1.4029999999999996,1.013943232814375
27,27,2022-09-23,ONGC,128.25,129.1,127.5,128.6,0.663,-0.585,0.273,0.663,0.585,0.585,23,9,2022,0.01,21.700000000000003,-0.02,1.3829999999999996,1.0137404441678122
28,28,2022-09-26,ONGC,127.3,128.8,122.65,123.45,1.178,-3.653,-3.024,3.653,1.178,1.178,26,9,2022,0.01,21.700000000000003,-0.02,1.3629999999999995,1.0135376960789786
29,29,2022-09-27,ONGC,124.35,127.9,123.85,124.45,2.855,-0.402,0.08,2.855,0.402,0.402,27,9,2022,0.01,21.700000000000003,-0.02,1.3429999999999995,1.013334988539763
30,30,2022-09-28,ONGC,123.95,123.95,121.5,122.55,0.0,-1.977,-1.129,1.977,0.0,0.0,28,9,2022,0.01,21.700000000000003,1.119,2.4619999999999997,1.024674207061523
31,31,2022-09-29,ONGC,123.5,128.2,123.5,126.65,3.806,0.0,2.551,3.806,0.0,0.0,29,9,2022,0.01,21.700000000000003,2.5410000000000004,5.003,1.0507111786629562
32,32,2022-09-30,ONGC,125.5,132.4,125.5,126.8,5.498,0.0,1.036,5.498,0.0,0.0,30,9,2022,0.01,21.700000000000003,1.026,6.029,1.061491475356038
33,33,2022-10-03,ONGC,126.8,126.8,126.8,126.8,0.0,0.0,0.0,0.0,0.0,0.0,3,10,2022,0.01,21.700000000000003,-0.01,6.019,1.0613853262085025
34,34,2022-10-03,ONGC,131.7,135.0,130.6,132.4,2.506,-0.835,0.532,2.506,0.835,0.835,3,10,2022,0.01,21.700000000000003,-0.02,5.9990000000000006,1.0611730491432607
35,35,2022-10-04,ONGC,134.9,135.0,131.8,133.9,0.074,-2.298,-0.741,2.298,0.074,0.074,4,10,2022,0.01,21.700000000000003,-0.02,5.979000000000001,1.0609608145334322
36,36,2022-10-06,ONGC,136.5,136.55,132.4,132.65,0.037,-3.004,-2.821,3.004,0.037,0.037,6,10,2022,0.01,21.700000000000003,-0.02,5.959000000000001,1.0607486223705256
37,37,2022-10-07,ONGC,132.05,134.25,131.2,134.05,1.666,-0.644,1.515,1.666,0.644,0.644,7,10,2022,0.01,21.700000000000003,-0.02,5.939000000000002,1.0605364726460516
38,38,2022-10-10,ONGC,133.0,134.0,132.2,133.25,0.752,-0.602,0.188,0.752,0.602,0.602,10,10,2022,0.01,21.700000000000003,-0.02,5.919000000000002,1.0603243653515224
39,39,2022-10-11,ONGC,133.25,133.5,130.25,131.1,0.188,-2.251,-1.614,2.251,0.188,0.188,11,10,2022,0.01,21.700000000000003,-0.02,5.899000000000003,1.060112300478452
40,40,2022-10-12,ONGC,131.1,132.0,129.1,131.35,0.686,-1.526,0.191,1.526,0.686,0.686,12,10,2022,0.01,21.700000000000003,-0.02,5.879000000000003,1.0599002780183564
41,41,2022-10-13,ONGC,131.2,131.85,127.65,129.85,0.495,-2.706,-1.029,2.706,0.495,0.495,13,10,2022,0.01,21.700000000000003,-0.02,5.8590000000000035,1.0596882979627527
42,42,2022-10-14,ONGC,132.0,132.8,127.05,127.6,0.606,-3.75,-3.333,3.75,0.606,0.606,14,10,2022,0.01,21.700000000000003,-0.02,5.839000000000004,1.05947636030316
43,43,2022-10-17,ONGC,127.0,128.2,126.0,127.8,0.945,-0.787,0.63,0.945,0.787,0.787,17,10,2022,0.01,21.700000000000003,-0.02,5.819000000000004,1.0592644650310994
44,44,2022-10-18,ONGC,128.45,129.1,127.6,128.7,0.506,-0.662,0.195,0.662,0.506,0.506,18,10,2022,0.01,21.700000000000003,-0.02,5.799000000000005,1.0590526121380932
45,45,2022-10-19,ONGC,128.7,128.7,127.4,127.8,0.0,-1.01,-0.699,1.01,0.0,0.0,19,10,2022,0.01,21.700000000000003,0.689,6.488000000000005,1.0663494846357247
46,46,2022-10-20,ONGC,127.0,131.0,125.8,129.6,3.15,-0.945,2.047,3.15,0.945,0.945,20,10,2022,0.01,21.700000000000003,-0.02,6.468000000000005,1.0661362147387976
47,47,2022-10-21,ONGC,129.35,133.4,128.75,131.55,3.131,-0.464,1.701,3.131,0.464,0.464,21,10,2022,0.01,21.700000000000003,-0.02,6.448000000000006,1.0659229874958498
48,48,2022-10-24,ONGC,133.0,134.0,132.4,132.8,0.752,-0.451,-0.15,0.752,0.451,0.451,24,10,2022,0.01,21.700000000000003,-0.02,6.428000000000006,1.0657098028983507
49,49,2022-10-25,ONGC,132.45,132.9,129.85,130.75,0.34,-1.963,-1.284,1.963,0.34,0.34,25,10,2022,0.01,21.700000000000003,-0.02,6.408000000000007,1.065496660937771
50,50,2022-10-27,ONGC,130.75,132.2,130.3,131.8,1.109,-0.344,0.803,1.109,0.344,0.344,27,10,2022,0.01,21.700000000000003,-0.02,6.388000000000007,1.0652835616055834
51,51,2022-10-28,ONGC,132.1,135.6,131.8,133.7,2.65,-0.227,1.211,2.65,0.227,0.227,28,10,2022,0.01,21.700000000000003,-0.02,6.368000000000007,1.0650705048932623
52,52,2022-10-31,ONGC,134.4,135.2,132.8,134.05,0.595,-1.19,-0.26,1.19,0.595,0.595,31,10,2022,0.01,21.700000000000003,-0.02,6.348000000000008,1.0648574907922836
53,53,2022-11-01,ONGC,134.1,135.7,134.1,135.15,1.193,0.0,0.783,1.193,0.0,0.0,1,11,2022,0.01,21.700000000000003,0.773,7.1210000000000075,1.073088839196108
54,54,2022-11-02,ONGC,135.85,139.2,135.35,136.45,2.466,-0.368,0.442,2.466,0.368,0.368,2,11,2022,0.01,21.700000000000003,-0.02,7.101000000000008,1.0728742214282687
