Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit
2022-08-16,POWERGRID,229.2,229.95,227.05,228.85,0.327,-0.938,-0.153,0.938,0.327,0.327,16,8,2022,0.01,16.400000000000002,-0.02
2022-08-17,POWERGRID,228.85,230.95,227.7,228.5,0.918,-0.503,-0.153,0.918,0.503,0.503,17,8,2022,0.01,16.400000000000002,-0.02
2022-08-18,POWERGRID,227.95,231.7,227.75,231.35,1.645,-0.088,1.492,1.645,0.088,0.088,18,8,2022,0.01,16.400000000000002,-0.02
2022-08-19,POWERGRID,228.45,229.7,225.7,228.15,0.547,-1.204,-0.131,1.204,0.547,0.547,19,8,2022,0.01,16.400000000000002,-0.02
2022-08-22,POWERGRID,228.1,230.8,225.65,225.95,1.184,-1.074,-0.943,1.184,1.074,1.074,22,8,2022,0.01,16.400000000000002,-0.02
2022-08-23,POWERGRID,224.95,228.85,224.2,227.55,1.734,-0.333,1.156,1.734,0.333,0.333,23,8,2022,0.01,16.400000000000002,-0.02
2022-08-24,POWERGRID,227.35,229.95,226.5,229.45,1.144,-0.374,0.924,1.144,0.374,0.374,24,8,2022,0.01,16.400000000000002,-0.02
2022-08-25,POWERGRID,230.5,231.0,225.1,226.3,0.217,-2.343,-1.822,2.343,0.217,0.217,25,8,2022,0.01,16.400000000000002,-0.02
2022-08-26,POWERGRID,226.6,231.2,226.6,230.45,2.03,0.0,1.699,2.03,0.0,0.0,26,8,2022,0.01,16.400000000000002,1.689
2022-08-29,POWERGRID,228.25,228.9,225.6,227.05,0.285,-1.161,-0.526,1.161,0.285,0.285,29,8,2022,0.01,16.400000000000002,-0.02
2022-08-30,POWERGRID,228.2,230.25,228.1,229.6,0.898,-0.044,0.613,0.898,0.044,0.044,30,8,2022,0.01,16.400000000000002,-0.02
2022-09-01,POWERGRID,225.05,230.1,225.0,226.1,2.244,-0.022,0.467,2.244,0.022,0.022,1,9,2022,0.01,16.400000000000002,-0.02
2022-09-02,POWERGRID,227.5,228.85,223.8,224.2,0.593,-1.626,-1.451,1.626,0.593,0.593,2,9,2022,0.01,16.400000000000002,-0.02
2022-09-05,POWERGRID,225.0,225.55,221.7,223.4,0.244,-1.467,-0.711,1.467,0.244,0.244,5,9,2022,0.01,16.400000000000002,-0.02
2022-09-06,POWERGRID,224.0,228.0,224.0,225.05,1.786,0.0,0.469,1.786,0.0,0.0,6,9,2022,0.01,16.400000000000002,0.45899999999999996
2022-09-07,POWERGRID,223.05,226.95,223.05,224.4,1.748,0.0,0.605,1.748,0.0,0.0,7,9,2022,0.01,16.400000000000002,0.595
2022-09-08,POWERGRID,226.0,226.9,223.45,224.4,0.398,-1.128,-0.708,1.128,0.398,0.398,8,9,2022,0.01,16.400000000000002,-0.02
2022-09-09,POWERGRID,226.05,226.15,222.5,222.9,0.044,-1.57,-1.393,1.57,0.044,0.044,9,9,2022,0.01,16.400000000000002,-0.02
2022-09-12,POWERGRID,223.55,224.7,222.2,223.95,0.514,-0.604,0.179,0.604,0.514,0.514,12,9,2022,0.01,16.400000000000002,-0.02
2022-09-13,POWERGRID,224.3,227.5,223.8,226.8,1.427,-0.223,1.115,1.427,0.223,0.223,13,9,2022,0.01,16.400000000000002,-0.02
2022-09-14,POWERGRID,225.0,233.2,224.7,232.55,3.644,-0.133,3.356,3.644,0.133,0.133,14,9,2022,0.01,16.400000000000002,-0.02
2022-09-15,POWERGRID,233.45,238.25,232.35,237.6,2.056,-0.471,1.778,2.056,0.471,0.471,15,9,2022,0.01,16.400000000000002,-0.02
2022-09-16,POWERGRID,238.4,238.45,233.4,235.65,0.021,-2.097,-1.154,2.097,0.021,0.021,16,9,2022,0.01,16.400000000000002,-0.02
2022-09-19,POWERGRID,235.95,238.1,231.65,233.15,0.911,-1.822,-1.187,1.822,0.911,0.911,19,9,2022,0.01,16.400000000000002,-0.02
2022-09-20,POWERGRID,234.0,236.25,232.1,232.7,0.962,-0.812,-0.556,0.962,0.812,0.812,20,9,2022,0.01,16.400000000000002,-0.02
2022-09-21,POWERGRID,233.85,234.35,224.3,227.05,0.214,-4.084,-2.908,4.084,0.214,0.214,21,9,2022,0.01,16.400000000000002,-0.02
