,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
0,0,0,0,0,0,0,0,0,0,0,0,2022-08-16,RTNINDIA,44.1,44.2,42.5,42.8,0.227,-3.628,-2.948,3.628,0.227,0.227,16,8,2022,0.01,8.5,-0.02,-0.02,0.9998
1,1,1,1,1,1,1,1,1,1,1,1,2022-08-17,RTNINDIA,42.8,51.35,42.65,51.35,19.977,-0.35,19.977,19.977,0.35,0.35,17,8,2022,0.01,8.5,-0.02,-0.04,0.99960004
2,2,2,2,2,2,2,2,2,2,2,2,2022-08-18,RTNINDIA,52.9,53.8,49.25,50.55,1.701,-6.9,-4.442,6.9,1.701,1.701,18,8,2022,0.01,8.5,-0.02,-0.06,0.9994001199920001
3,3,3,3,3,3,3,3,3,3,3,3,2022-08-19,RTNINDIA,50.7,55.45,50.65,52.4,9.369,-0.099,3.353,9.369,0.099,0.099,19,8,2022,0.01,8.5,-0.02,-0.08,0.9992002399680017
4,4,4,4,4,4,4,4,4,4,4,4,2022-08-22,RTNINDIA,52.5,57.4,51.1,55.15,9.333,-2.667,5.048,9.333,2.667,2.667,22,8,2022,0.01,8.5,-0.02,-0.1,0.9990003999200081
5,5,5,5,5,5,5,5,5,5,5,5,2022-08-23,RTNINDIA,55.25,58.45,53.55,55.15,5.792,-3.077,-0.181,5.792,3.077,3.077,23,8,2022,0.01,8.5,-0.02,-0.12000000000000001,0.9988005998400241
6,6,6,6,6,6,6,6,6,6,6,6,2022-08-24,RTNINDIA,55.6,57.35,55.1,56.4,3.147,-0.899,1.439,3.147,0.899,0.899,24,8,2022,0.01,8.5,-0.02,-0.14,0.9986008397200561
7,7,7,7,7,7,7,7,7,7,7,7,2022-08-25,RTNINDIA,56.8,57.5,54.0,54.85,1.232,-4.93,-3.433,4.93,1.232,1.232,25,8,2022,0.01,8.5,-0.02,-0.16,0.9984011195521121
8,8,8,8,8,8,8,8,8,8,8,8,2022-08-26,RTNINDIA,54.9,55.65,52.0,52.35,1.366,-5.282,-4.645,5.282,1.366,1.366,26,8,2022,0.01,8.5,-0.02,-0.18,0.9982014393282017
9,9,9,9,9,9,9,9,9,9,9,9,2022-08-29,RTNINDIA,51.0,51.65,49.7,50.5,1.275,-2.549,-0.98,2.549,1.275,1.275,29,8,2022,0.01,8.5,-0.02,-0.19999999999999998,0.9980017990403361
10,10,10,10,10,10,10,10,10,10,10,10,2022-08-30,RTNINDIA,51.1,53.25,51.1,51.6,4.207,0.0,0.978,4.207,0.0,0.0,30,8,2022,0.01,8.5,0.968,0.768,1.0076624564550465
11,11,11,11,11,11,11,11,11,11,11,11,2022-09-01,RTNINDIA,51.4,53.05,51.0,51.9,3.21,-0.778,0.973,3.21,0.778,0.778,1,9,2022,0.01,8.5,-0.02,0.748,1.0074609239637555
12,12,12,12,12,12,12,12,12,12,12,12,2022-09-02,RTNINDIA,52.4,52.7,50.0,50.45,0.573,-4.58,-3.721,4.58,0.573,0.573,2,9,2022,0.01,8.5,-0.02,0.728,1.0072594317789627
13,13,13,13,13,13,13,13,13,13,13,13,2022-09-05,RTNINDIA,51.4,52.4,50.65,51.35,1.946,-1.459,-0.097,1.946,1.459,1.459,5,9,2022,0.01,8.5,-0.02,0.708,1.007057979892607
