Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2022-08-16,SBIN,533.3,533.85,525.0,525.95,0.103,-1.556,-1.378,1.556,0.103,0.103,16,8,2022
2022-08-17,SBIN,528.85,530.55,524.35,528.15,0.321,-0.851,-0.132,0.851,0.321,0.321,17,8,2022
2022-08-18,SBIN,526.85,534.8,526.2,532.35,1.509,-0.123,1.044,1.509,0.123,0.123,18,8,2022
2022-08-19,SBIN,532.0,533.65,518.5,520.35,0.31,-2.538,-2.19,2.538,0.31,0.31,19,8,2022
2022-08-22,SBIN,519.0,519.9,510.0,511.3,0.173,-1.734,-1.484,1.734,0.173,0.173,22,8,2022
2022-08-23,SBIN,508.25,524.0,508.25,521.9,3.099,0.0,2.686,3.099,0.0,0.0,23,8,2022
2022-08-24,SBIN,519.0,523.0,512.3,519.3,0.771,-1.291,0.058,1.291,0.771,0.771,24,8,2022
2022-08-25,SBIN,521.95,528.3,518.5,520.4,1.217,-0.661,-0.297,1.217,0.661,0.661,25,8,2022
2022-08-26,SBIN,523.8,529.5,522.2,523.8,1.088,-0.305,0.0,1.088,0.305,0.305,26,8,2022
2022-08-29,SBIN,511.3,517.0,508.75,514.85,1.115,-0.499,0.694,1.115,0.499,0.499,29,8,2022
2022-08-30,SBIN,518.2,532.5,517.95,531.25,2.76,-0.048,2.518,2.76,0.048,0.048,30,8,2022
2022-09-01,SBIN,522.25,540.9,522.25,533.3,3.571,0.0,2.116,3.571,0.0,0.0,1,9,2022
2022-09-02,SBIN,537.0,537.85,531.25,536.7,0.158,-1.071,-0.056,1.071,0.158,0.158,2,9,2022
2022-09-05,SBIN,537.0,540.8,536.3,538.9,0.708,-0.13,0.354,0.708,0.13,0.13,5,9,2022
2022-09-06,SBIN,538.0,542.7,534.1,537.8,0.874,-0.725,-0.037,0.874,0.725,0.725,6,9,2022
2022-09-07,SBIN,534.4,537.45,531.55,532.85,0.571,-0.533,-0.29,0.571,0.533,0.533,7,9,2022
2022-09-08,SBIN,536.0,546.3,535.5,544.65,1.922,-0.093,1.614,1.922,0.093,0.093,8,9,2022
2022-09-09,SBIN,549.65,557.0,548.0,553.35,1.337,-0.3,0.673,1.337,0.3,0.3,9,9,2022
2022-09-12,SBIN,554.9,558.6,551.25,554.9,0.667,-0.658,0.0,0.667,0.658,0.658,12,9,2022
2022-09-13,SBIN,560.0,560.0,553.75,558.0,0.0,-1.116,-0.357,1.116,0.0,0.0,13,9,2022
2022-09-14,SBIN,550.0,574.85,549.25,571.75,4.518,-0.136,3.955,4.518,0.136,0.136,14,9,2022
2022-09-15,SBIN,572.55,578.5,567.9,572.15,1.039,-0.812,-0.07,1.039,0.812,0.812,15,9,2022
2022-09-16,SBIN,569.1,574.0,560.3,561.8,0.861,-1.546,-1.283,1.546,0.861,0.861,16,9,2022
2022-09-19,SBIN,560.7,574.4,559.55,572.25,2.443,-0.205,2.06,2.443,0.205,0.205,19,9,2022
2022-09-20,SBIN,577.95,577.95,572.85,574.05,0.0,-0.882,-0.675,0.882,0.0,0.0,20,9,2022
2022-09-21,SBIN,575.0,577.3,565.4,569.7,0.4,-1.67,-0.922,1.67,0.4,0.4,21,9,2022
2022-09-22,SBIN,566.75,574.0,562.0,567.3,1.279,-0.838,0.097,1.279,0.838,0.838,22,9,2022
2022-09-23,SBIN,564.8,568.0,549.5,550.6,0.567,-2.709,-2.514,2.709,0.567,0.567,23,9,2022
2022-09-26,SBIN,545.8,549.0,533.0,543.3,0.586,-2.345,-0.458,2.345,0.586,0.586,26,9,2022
2022-09-27,SBIN,544.55,550.9,533.2,536.5,1.166,-2.084,-1.478,2.084,1.166,1.166,27,9,2022
2022-09-28,SBIN,532.9,539.8,520.35,524.85,1.295,-2.355,-1.511,2.355,1.295,1.295,28,9,2022
2022-09-29,SBIN,529.0,535.7,519.55,521.75,1.267,-1.786,-1.371,1.786,1.267,1.267,29,9,2022
