,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-16,SUZLON,7.65,7.7,7.55,7.7,0.654,-1.307,0.654,1.307,0.654,0.654,16,8,2022,0.01,15.8,-0.02,-0.02,0.9998
1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-17,SUZLON,7.75,7.8,7.55,7.6,0.645,-2.581,-1.935,2.581,0.645,0.645,17,8,2022,0.01,15.8,-0.02,-0.04,0.99960004
2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-18,SUZLON,7.6,7.75,7.45,7.7,1.974,-1.974,1.316,1.974,1.974,1.974,18,8,2022,0.01,15.8,-0.02,-0.06,0.9994001199920001
3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-19,SUZLON,7.7,7.8,7.6,7.7,1.299,-1.299,0.0,1.299,1.299,1.299,19,8,2022,0.01,15.8,-0.02,-0.08,0.9992002399680017
4,4,4,4,4,4,4,4,4,4,4,4,4,2022-08-22,SUZLON,7.75,8.7,7.6,8.6,12.258,-1.935,10.968,12.258,1.935,1.935,22,8,2022,0.01,15.8,-0.02,-0.1,0.9990003999200081
5,5,5,5,5,5,5,5,5,5,5,5,5,2022-08-23,SUZLON,8.7,9.3,8.6,8.95,6.897,-1.149,2.874,6.897,1.149,1.149,23,8,2022,0.01,15.8,-0.02,-0.12000000000000001,0.9988005998400241
6,6,6,6,6,6,6,6,6,6,6,6,6,2022-08-24,SUZLON,9.0,9.2,8.65,8.75,2.222,-3.889,-2.778,3.889,2.222,2.222,24,8,2022,0.01,15.8,-0.02,-0.14,0.9986008397200561
7,7,7,7,7,7,7,7,7,7,7,7,7,2022-08-25,SUZLON,8.75,8.9,8.4,8.45,1.714,-4.0,-3.429,4.0,1.714,1.714,25,8,2022,0.01,15.8,-0.02,-0.16,0.9984011195521121
8,8,8,8,8,8,8,8,8,8,8,8,8,2022-08-26,SUZLON,8.55,8.65,8.1,8.2,1.17,-5.263,-4.094,5.263,1.17,1.17,26,8,2022,0.01,15.8,-0.02,-0.18,0.9982014393282017
9,9,9,9,9,9,9,9,9,9,9,9,9,2022-08-29,SUZLON,7.9,8.4,7.7,8.05,6.329,-2.532,1.899,6.329,2.532,2.532,29,8,2022,0.01,15.8,-0.02,-0.19999999999999998,0.9980017990403361
10,10,10,10,10,10,10,10,10,10,10,10,10,2022-08-30,SUZLON,8.15,8.35,8.1,8.2,2.454,-0.613,0.613,2.454,0.613,0.613,30,8,2022,0.01,15.8,-0.02,-0.21999999999999997,0.9978021986805281
11,11,11,11,11,11,11,11,11,11,11,11,11,2022-09-01,SUZLON,8.15,8.95,8.1,8.8,9.816,-0.613,7.975,9.816,0.613,0.613,1,9,2022,0.01,15.8,-0.02,-0.23999999999999996,0.997602638240792
12,12,12,12,12,12,12,12,12,12,12,12,12,2022-09-02,SUZLON,8.95,9.2,8.75,8.8,2.793,-2.235,-1.676,2.793,2.235,2.235,2,9,2022,0.01,15.8,-0.02,-0.25999999999999995,0.9974031177131438
13,13,13,13,13,13,13,13,13,13,13,13,13,2022-09-05,SUZLON,9.15,10.55,9.05,10.55,15.301,-1.093,15.301,15.301,1.093,1.093,5,9,2022,0.01,15.8,-0.02,-0.27999999999999997,0.9972036370896012
14,14,14,14,14,14,14,14,14,14,14,14,14,2022-09-06,SUZLON,11.4,11.7,9.75,10.7,2.632,-14.474,-6.14,14.474,2.632,2.632,6,9,2022,0.01,15.8,-0.02,-0.3,0.9970041963621834
15,15,15,15,15,15,15,15,15,15,15,15,15,2022-09-07,SUZLON,10.6,11.15,10.4,10.45,5.189,-1.887,-1.415,5.189,1.887,1.887,7,9,2022,0.01,15.8,-0.02,-0.32,0.996804795522911
16,16,16,16,16,16,16,16,16,16,16,16,16,2022-09-08,SUZLON,10.65,10.8,10.0,10.15,1.408,-6.103,-4.695,6.103,1.408,1.408,8,9,2022,0.01,15.8,-0.02,-0.34,0.9966054345638065
17,17,17,17,17,17,17,17,17,17,17,17,17,2022-09-09,SUZLON,10.25,10.3,9.55,9.6,0.488,-6.829,-6.341,6.829,0.488,0.488,9,9,2022,0.01,15.8,-0.02,-0.36000000000000004,0.9964061134768937
18,18,18,18,18,18,18,18,18,18,18,18,18,2022-09-12,SUZLON,9.7,10.0,9.6,9.85,3.093,-1.031,1.546,3.093,1.031,1.031,12,9,2022,0.01,15.8,-0.02,-0.38000000000000006,0.9962068322541984
19,19,19,19,19,19,19,19,19,19,19,19,19,2022-09-13,SUZLON,9.9,9.95,9.5,9.55,0.505,-4.04,-3.535,4.04,0.505,0.505,13,9,2022,0.01,15.8,-0.02,-0.4000000000000001,0.9960075908877476
20,20,20,20,20,20,20,20,20,20,20,20,20,2022-09-14,SUZLON,9.25,9.45,9.1,9.15,2.162,-1.622,-1.081,2.162,1.622,1.622,14,9,2022,0.01,15.8,-0.02,-0.4200000000000001,0.9958083893695701
21,21,21,21,21,21,21,21,21,21,21,21,21,2022-09-15,SUZLON,9.25,9.4,9.0,9.15,1.622,-2.703,-1.081,2.703,1.622,1.622,15,9,2022,0.01,15.8,-0.02,-0.4400000000000001,0.9956092276916961
22,22,22,22,22,22,22,22,22,22,22,22,22,2022-09-16,SUZLON,9.2,9.25,8.85,9.05,0.543,-3.804,-1.63,3.804,0.543,0.543,16,9,2022,0.01,15.8,-0.02,-0.46000000000000013,0.9954101058461579
23,23,23,23,23,23,23,23,23,23,23,23,23,2022-09-19,SUZLON,9.15,9.2,8.7,8.85,0.546,-4.918,-3.279,4.918,0.546,0.546,19,9,2022,0.01,15.8,-0.02,-0.48000000000000015,0.9952110238249886
24,24,24,24,24,24,24,24,24,24,24,24,24,2022-09-20,SUZLON,8.8,8.9,8.6,8.65,1.136,-2.273,-1.705,2.273,1.136,1.136,20,9,2022,0.01,15.8,-0.02,-0.5000000000000001,0.9950119816202236
25,25,25,25,25,25,25,25,25,25,25,25,25,2022-09-21,SUZLON,8.3,8.8,8.25,8.55,6.024,-0.602,3.012,6.024,0.602,0.602,21,9,2022,0.01,15.8,-0.02,-0.5200000000000001,0.9948129792238997
26,26,26,26,26,26,26,26,26,26,26,26,26,2022-09-22,SUZLON,8.5,9.85,8.5,9.6,15.882,0.0,12.941,15.882,0.0,0.0,22,9,2022,0.01,15.8,15.79,15.27,1.1518939486433533
27,27,27,27,27,27,27,27,27,27,27,27,27,2022-09-23,SUZLON,9.75,9.9,9.0,9.1,1.538,-7.692,-6.667,7.692,1.538,1.538,23,9,2022,0.01,15.8,-0.02,15.25,1.1516635698536246
28,28,28,28,28,28,28,28,28,28,28,28,28,2022-09-26,SUZLON,8.95,8.95,8.15,8.55,0.0,-8.939,-4.469,8.939,0.0,0.0,26,9,2022,0.01,15.8,4.4590000000000005,19.709,1.2030162484333977
29,29,29,29,29,29,29,29,29,29,29,29,29,2022-09-27,SUZLON,8.7,9.05,8.25,8.35,4.023,-5.172,-4.023,5.172,4.023,4.023,27,9,2022,0.01,15.8,-0.02,19.689,1.202775645183711
30,30,30,30,30,30,30,30,30,30,30,30,30,2022-09-28,SUZLON,8.2,8.35,7.95,8.1,1.829,-3.049,-1.22,3.049,1.829,1.829,28,9,2022,0.01,15.8,-0.02,19.669,1.2025350900546743
31,31,31,31,31,31,31,31,31,31,31,31,31,2022-09-29,SUZLON,8.35,8.6,8.25,8.45,2.994,-1.198,1.198,2.994,1.198,1.198,29,9,2022,0.01,15.8,-0.02,19.649,1.2022945830366634
32,32,32,32,32,32,32,32,32,32,32,32,32,2022-09-30,SUZLON,8.5,8.85,8.45,8.7,4.118,-0.588,2.353,4.118,0.588,0.588,30,9,2022,0.01,15.8,-0.02,19.629,1.202054124120056
33,33,33,33,33,33,33,33,33,33,33,33,33,2022-10-03,SUZLON,7.6,8.25,7.5,7.9,8.553,-1.316,3.947,8.553,1.316,1.316,3,10,2022,0.01,15.8,-0.02,19.609,1.201813713295232
34,34,34,34,34,34,34,34,34,34,34,34,34,2022-10-04,SUZLON,7.9,7.9,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0,4,10,2022,0.01,15.8,-0.01,19.599,1.2016935319239026
35,35,35,35,35,35,35,35,35,35,35,35,35,2022-10-04,SUZLON,8.2,8.25,7.8,7.9,0.61,-4.878,-3.659,4.878,0.61,0.61,4,10,2022,0.01,15.8,-0.02,19.579,1.2014531932175179
36,36,36,36,36,36,36,36,36,36,36,36,36,2022-10-06,SUZLON,8.0,8.0,7.55,7.65,0.0,-5.625,-4.375,5.625,0.0,0.0,6,10,2022,0.01,15.8,4.365,23.944000000000003,1.2538966251014625
37,37,37,37,37,37,37,37,37,37,37,37,37,2022-10-07,SUZLON,7.75,7.85,7.6,7.65,1.29,-1.935,-1.29,1.935,1.29,1.29,7,10,2022,0.01,15.8,-0.02,23.924000000000003,1.2536458457764423
38,38,38,38,38,38,38,38,38,38,38,38,38,2022-10-10,SUZLON,7.6,7.95,7.5,7.65,4.605,-1.316,0.658,4.605,1.316,1.316,10,10,2022,0.01,15.8,-0.02,23.904000000000003,1.253395116607287
39,39,39,39,39,39,39,39,39,39,39,39,39,2022-10-11,SUZLON,7.6,7.65,7.05,7.1,0.658,-7.237,-6.579,7.237,0.658,0.658,11,10,2022,0.01,15.8,-0.02,23.884000000000004,1.2531444375839655
40,40,40,40,40,40,40,40,40,40,40,40,40,2022-10-12,SUZLON,7.25,7.4,6.9,6.95,2.069,-4.828,-4.138,4.828,2.069,2.069,12,10,2022,0.01,15.8,-0.02,23.864000000000004,1.2528938086964487
41,41,41,41,41,41,41,41,41,41,41,41,41,2022-10-13,SUZLON,6.95,6.95,6.6,6.8,0.0,-5.036,-2.158,5.036,0.0,0.0,13,10,2022,0.01,15.8,2.148,26.012000000000004,1.2798059677072484
42,42,42,42,42,42,42,42,42,42,42,42,42,2022-10-14,SUZLON,7.0,7.0,6.65,6.7,0.0,-5.0,-4.286,5.0,0.0,0.0,14,10,2022,0.01,15.8,4.276,30.288000000000004,1.3345304708864103
43,43,43,43,43,43,43,43,43,43,43,43,43,2022-10-17,SUZLON,6.8,7.6,6.75,7.45,11.765,-0.735,9.559,11.765,0.735,0.735,17,10,2022,0.01,15.8,-0.02,30.268000000000004,1.334263564792233
44,44,44,44,44,44,44,44,44,44,44,44,44,2022-10-18,SUZLON,7.65,7.9,7.55,7.75,3.268,-1.307,1.307,3.268,1.307,1.307,18,10,2022,0.01,15.8,-0.02,30.248000000000005,1.3339967120792746
45,45,45,45,45,45,45,45,45,45,45,45,45,2022-10-19,SUZLON,7.85,9.3,7.8,9.25,18.471,-0.637,17.834,18.471,0.637,0.637,19,10,2022,0.01,15.8,-0.02,30.228000000000005,1.3337299127368587
46,46,46,46,46,46,46,46,46,46,46,46,46,2022-10-20,SUZLON,9.3,9.6,8.1,8.9,3.226,-12.903,-4.301,12.903,3.226,3.226,20,10,2022,0.01,15.8,-0.02,30.208000000000006,1.3334631667543113
