,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
0,0,0,0,0,0,0,0,2022-08-16,TATAMOTORS,479.6,491.4,478.2,489.85,2.46,-0.292,2.137,2.46,0.292,0.292,16,8,2022,0.65,3.9,1.487,1.487,1.01487
1,1,1,1,1,1,1,1,2022-08-17,TATAMOTORS,490.9,494.4,484.2,485.4,0.713,-1.365,-1.12,1.365,0.713,0.713,17,8,2022,0.65,3.9,-1.3,0.18700000000000006,1.00167669
2,2,2,2,2,2,2,2,2022-08-18,TATAMOTORS,484.0,486.8,479.25,484.8,0.579,-0.981,0.165,0.981,0.579,0.579,18,8,2022,0.65,3.9,-0.485,-0.29799999999999993,0.9968185580535001
3,3,3,3,3,3,3,3,2022-08-19,TATAMOTORS,486.75,488.1,468.1,471.0,0.277,-3.832,-3.236,3.832,0.277,0.277,19,8,2022,0.65,3.9,2.5860000000000003,2.2880000000000003,1.0225962859647635
4,4,4,4,4,4,4,4,2022-08-22,TATAMOTORS,468.5,468.95,452.55,454.6,0.096,-3.404,-2.967,3.404,0.096,0.096,22,8,2022,0.65,3.9,2.317,4.605,1.046289841910567
5,5,5,5,5,5,5,5,2022-08-23,TATAMOTORS,449.0,462.1,447.6,460.45,2.918,-0.312,2.55,2.918,0.312,0.312,23,8,2022,0.65,3.9,1.9,6.505000000000001,1.0661693489068678
6,6,6,6,6,6,6,6,2022-08-24,TATAMOTORS,459.0,464.9,457.7,463.2,1.285,-0.283,0.915,1.285,0.283,0.283,24,8,2022,0.65,3.9,0.265,6.7700000000000005,1.068994697681471
7,7,7,7,7,7,7,7,2022-08-25,TATAMOTORS,466.0,468.8,457.4,459.2,0.601,-1.845,-1.459,1.845,0.601,0.601,25,8,2022,0.65,3.9,0.809,7.579000000000001,1.0776428647857141
8,8,8,8,8,8,8,8,2022-08-26,TATAMOTORS,465.0,470.45,463.95,465.05,1.172,-0.226,0.011,1.172,0.226,0.226,26,8,2022,0.65,3.9,-0.639,6.94,1.0707567268797333
9,9,9,9,9,9,9,9,2022-08-29,TATAMOTORS,451.0,456.9,450.15,453.35,1.308,-0.188,0.521,1.308,0.188,0.188,29,8,2022,0.65,3.9,-0.129,6.811,1.0693754507020585
10,10,10,10,10,10,10,10,2022-08-30,TATAMOTORS,458.65,472.4,457.1,471.1,2.998,-0.338,2.714,2.998,0.338,0.338,30,8,2022,0.65,3.9,2.064,8.875,1.0914473600045491
11,11,11,11,11,11,11,11,2022-09-01,TATAMOTORS,462.5,474.4,462.15,466.9,2.573,-0.076,0.951,2.573,0.076,0.076,1,9,2022,0.65,3.9,0.3009999999999999,9.176,1.0947326165581628
12,12,12,12,12,12,12,12,2022-09-02,TATAMOTORS,470.85,471.8,460.15,461.75,0.202,-2.272,-1.933,2.272,0.202,0.202,2,9,2022,0.65,3.9,1.283,10.459,1.108778036028604
13,13,13,13,13,13,13,13,2022-09-05,TATAMOTORS,459.75,463.95,457.0,459.0,0.914,-0.598,-0.163,0.914,0.598,0.598,5,9,2022,0.65,3.9,-0.487,9.972,1.1033782869931446
14,14,14,14,14,14,14,14,2022-09-06,TATAMOTORS,462.7,463.7,456.6,457.75,0.216,-1.318,-1.07,1.318,0.216,0.216,6,9,2022,0.65,3.9,0.42,10.392,1.1080124757985157
15,15,15,15,15,15,15,15,2022-09-07,TATAMOTORS,453.2,456.5,443.65,445.85,0.728,-2.107,-1.622,2.107,0.728,0.728,7,9,2022,0.65,3.9,-1.3,9.091999999999999,1.093608313613135
16,16,16,16,16,16,16,16,2022-09-08,TATAMOTORS,452.45,452.55,440.0,442.2,0.022,-2.752,-2.265,2.752,0.022,0.022,8,9,2022,0.65,3.9,1.6150000000000002,10.706999999999999,1.111270087877987
