,Unnamed: 0,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
0,0,2022-08-16,TATASTEEL,113.7,113.7,111.1,113.0,0.0,-2.287,-0.616,2.287,0.0,0.0,16,8,2022,0.1,15.0,0.516,0.516,1.00516
1,1,2022-08-17,TATASTEEL,113.5,113.5,112.25,112.5,0.0,-1.101,-0.881,1.101,0.0,0.0,17,8,2022,0.1,15.0,0.781,1.2970000000000002,1.0130102996
2,2,2022-08-18,TATASTEEL,112.5,113.0,111.4,112.55,0.444,-0.978,0.044,0.978,0.444,0.444,18,8,2022,0.1,15.0,-0.2,1.0970000000000002,1.0109842790008001
3,3,2022-08-19,TATASTEEL,112.55,112.9,109.55,110.05,0.311,-2.665,-2.221,2.665,0.311,0.311,19,8,2022,0.1,15.0,-0.2,0.8970000000000002,1.0089623104427985
4,4,2022-08-22,TATASTEEL,109.5,109.6,104.7,105.05,0.091,-4.384,-4.064,4.384,0.091,0.091,22,8,2022,0.1,15.0,3.964,4.861000000000001,1.0489575764287509
5,5,2022-08-23,TATASTEEL,104.2,108.25,103.5,107.6,3.887,-0.672,3.263,3.887,0.672,0.672,23,8,2022,0.1,15.0,-0.2,4.6610000000000005,1.0468596612758934
6,6,2022-08-24,TATASTEEL,107.55,108.15,105.75,106.55,0.558,-1.674,-0.93,1.674,0.558,0.558,24,8,2022,0.1,15.0,-0.2,4.461,1.0447659419533415
7,7,2022-08-25,TATASTEEL,107.05,107.9,105.75,106.25,0.794,-1.214,-0.747,1.214,0.794,0.794,25,8,2022,0.1,15.0,-0.2,4.261,1.0426764100694348
8,8,2022-08-26,TATASTEEL,107.25,109.2,107.1,107.35,1.818,-0.14,0.093,1.818,0.14,0.14,26,8,2022,0.1,15.0,-0.2,4.061,1.040591057249296
9,9,2022-08-29,TATASTEEL,104.05,105.65,103.25,104.85,1.538,-0.769,0.769,1.538,0.769,0.769,29,8,2022,0.1,15.0,-0.2,3.8609999999999998,1.0385098751347974
10,10,2022-08-30,TATASTEEL,106.5,108.5,106.05,108.3,1.878,-0.423,1.69,1.878,0.423,0.423,30,8,2022,0.1,15.0,-0.2,3.6609999999999996,1.036432855384528
11,11,2022-09-01,TATASTEEL,107.0,107.75,105.9,106.4,0.701,-1.028,-0.561,1.028,0.701,0.701,1,9,2022,0.1,15.0,-0.2,3.4609999999999994,1.0343599896737588
12,12,2022-09-02,TATASTEEL,107.0,107.0,105.0,105.5,0.0,-1.869,-1.402,1.869,0.0,0.0,2,9,2022,0.1,15.0,1.3019999999999998,4.762999999999999,1.047827356739311
13,13,2022-09-05,TATASTEEL,106.05,107.3,105.8,106.9,1.179,-0.236,0.802,1.179,0.236,0.236,5,9,2022,0.1,15.0,-0.2,4.562999999999999,1.0457317020258323
14,14,2022-09-06,TATASTEEL,107.4,108.8,106.05,108.6,1.304,-1.257,1.117,1.304,1.257,1.257,6,9,2022,0.1,15.0,-0.2,4.362999999999999,1.0436402386217807
15,15,2022-09-07,TATASTEEL,107.55,108.9,107.1,107.6,1.255,-0.418,0.046,1.255,0.418,0.418,7,9,2022,0.1,15.0,-0.2,4.1629999999999985,1.041552958144537
16,16,2022-09-08,TATASTEEL,108.4,108.4,105.35,105.85,0.0,-2.814,-2.352,2.814,0.0,0.0,8,9,2022,0.1,15.0,2.252,6.414999999999998,1.0650087307619522
17,17,2022-09-09,TATASTEEL,107.0,107.35,105.5,105.7,0.327,-1.402,-1.215,1.402,0.327,0.327,9,9,2022,0.1,15.0,-0.2,6.214999999999998,1.0628787133004283
18,18,2022-09-12,TATASTEEL,106.8,107.95,106.5,107.75,1.077,-0.281,0.89,1.077,0.281,0.281,12,9,2022,0.1,15.0,-0.2,6.014999999999998,1.0607529558738273
19,19,2022-09-13,TATASTEEL,108.0,108.7,107.55,107.75,0.648,-0.417,-0.231,0.648,0.417,0.417,13,9,2022,0.1,15.0,-0.2,5.814999999999998,1.0586314499620797
20,20,2022-09-14,TATASTEEL,106.3,110.4,105.8,109.15,3.857,-0.47,2.681,3.857,0.47,0.47,14,9,2022,0.1,15.0,-0.2,5.6149999999999975,1.0565141870621555
21,21,2022-09-15,TATASTEEL,108.65,109.0,106.5,107.0,0.322,-1.979,-1.519,1.979,0.322,0.322,15,9,2022,0.1,15.0,-0.2,5.414999999999997,1.054401158688031
22,22,2022-09-16,TATASTEEL,106.2,107.5,105.0,105.7,1.224,-1.13,-0.471,1.224,1.13,1.13,16,9,2022,0.1,15.0,-0.2,5.214999999999997,1.052292356370655
23,23,2022-09-19,TATASTEEL,106.2,106.2,103.0,103.1,0.0,-3.013,-2.919,3.013,0.0,0.0,19,9,2022,0.1,15.0,2.819,8.033999999999997,1.0819564778967437
24,24,2022-09-20,TATASTEEL,104.2,106.35,104.0,105.8,2.063,-0.192,1.536,2.063,0.192,0.192,20,9,2022,0.1,15.0,-0.2,7.833999999999997,1.07979256494095
25,25,2022-09-21,TATASTEEL,105.8,107.2,104.3,104.45,1.323,-1.418,-1.276,1.418,1.323,1.323,21,9,2022,0.1,15.0,-0.2,7.633999999999997,1.0776329798110682
26,26,2022-09-22,TATASTEEL,104.45,105.3,103.5,103.6,0.814,-0.91,-0.814,0.91,0.814,0.814,22,9,2022,0.1,15.0,-0.2,7.433999999999997,1.075477713851446
27,27,2022-09-23,TATASTEEL,106.2,107.9,103.75,104.3,1.601,-2.307,-1.789,2.307,1.601,1.601,23,9,2022,0.1,15.0,-0.2,7.233999999999996,1.0733267584237431
28,28,2022-09-26,TATASTEEL,104.4,104.45,98.5,99.85,0.048,-5.651,-4.358,5.651,0.048,0.048,26,9,2022,0.1,15.0,4.258,11.491999999999997,1.1190290117974262
29,29,2022-09-27,TATASTEEL,101.35,101.35,96.5,97.65,0.0,-4.785,-3.651,4.785,0.0,0.0,27,9,2022,0.1,15.0,3.551,15.042999999999997,1.1587657320063527
30,30,2022-09-28,TATASTEEL,96.55,97.85,95.0,95.2,1.346,-1.605,-1.398,1.605,1.346,1.346,28,9,2022,0.1,15.0,-0.2,14.842999999999998,1.15644820054234
31,31,2022-09-29,TATASTEEL,97.0,98.25,96.4,96.85,1.289,-0.619,-0.155,1.289,0.619,0.619,29,9,2022,0.1,15.0,-0.2,14.642999999999999,1.1541353041412552
32,32,2022-09-30,TATASTEEL,96.85,100.4,95.7,99.3,3.665,-1.187,2.53,3.665,1.187,1.187,30,9,2022,0.1,15.0,-0.2,14.443,1.1518270335329728
33,33,2022-10-03,TATASTEEL,99.3,99.3,99.3,99.3,0.0,0.0,0.0,0.0,0.0,0.0,3,10,2022,0.1,15.0,-0.1,14.343,1.1506752064994399
34,34,2022-10-03,TATASTEEL,99.6,99.65,98.0,98.35,0.05,-1.606,-1.255,1.606,0.05,0.05,3,10,2022,0.1,15.0,1.1549999999999998,15.498,1.1639655051345084
35,35,2022-10-04,TATASTEEL,100.3,101.5,100.0,101.15,1.196,-0.299,0.847,1.196,0.299,0.299,4,10,2022,0.1,15.0,-0.2,15.298,1.1616375741242393
36,36,2022-10-06,TATASTEEL,102.0,103.8,101.75,103.55,1.765,-0.245,1.52,1.765,0.245,0.245,6,10,2022,0.1,15.0,-0.2,15.098,1.1593142989759908
37,37,2022-10-07,TATASTEEL,103.3,103.5,101.9,103.3,0.194,-1.355,0.0,1.355,0.194,0.194,7,10,2022,0.1,15.0,-0.2,14.898000000000001,1.1569956703780389
38,38,2022-10-10,TATASTEEL,102.0,103.5,101.15,103.2,1.471,-0.833,1.176,1.471,0.833,0.833,10,10,2022,0.1,15.0,-0.2,14.698000000000002,1.1546816790372827
39,39,2022-10-11,TATASTEEL,103.55,103.65,99.8,100.35,0.097,-3.621,-3.09,3.621,0.097,0.097,11,10,2022,0.1,15.0,2.99,17.688000000000002,1.1892066612404975
40,40,2022-10-12,TATASTEEL,100.35,101.2,99.0,100.55,0.847,-1.345,0.199,1.345,0.847,0.847,12,10,2022,0.1,15.0,-0.2,17.488000000000003,1.1868282479180166
41,41,2022-10-13,TATASTEEL,101.1,101.8,98.8,100.1,0.692,-2.275,-0.989,2.275,0.692,0.692,13,10,2022,0.1,15.0,-0.2,17.288000000000004,1.1844545914221805
42,42,2022-10-14,TATASTEEL,101.85,102.8,99.9,100.1,0.933,-1.915,-1.718,1.915,0.933,0.933,14,10,2022,0.1,15.0,-0.2,17.088000000000005,1.1820856822393362
43,43,2022-10-17,TATASTEEL,99.75,100.4,98.1,99.55,0.652,-1.654,-0.201,1.654,0.652,0.652,17,10,2022,0.1,15.0,-0.2,16.888000000000005,1.1797215108748575
44,44,2022-10-18,TATASTEEL,100.3,101.0,99.8,100.65,0.698,-0.499,0.349,0.698,0.499,0.499,18,10,2022,0.1,15.0,-0.2,16.688000000000006,1.1773620678531078
45,45,2022-10-19,TATASTEEL,100.6,101.25,99.7,100.05,0.646,-0.895,-0.547,0.895,0.646,0.646,19,10,2022,0.1,15.0,-0.2,16.488000000000007,1.1750073437174016
46,46,2022-10-20,TATASTEEL,99.5,101.2,98.8,100.9,1.709,-0.704,1.407,1.709,0.704,0.704,20,10,2022,0.1,15.0,-0.2,16.288000000000007,1.1726573290299667
47,47,2022-10-21,TATASTEEL,100.85,101.45,99.35,100.2,0.595,-1.487,-0.645,1.487,0.595,0.595,21,10,2022,0.1,15.0,-0.2,16.088000000000008,1.1703120143719068
48,48,2022-10-24,TATASTEEL,102.0,102.1,101.0,101.2,0.098,-0.98,-0.784,0.98,0.098,0.098,24,10,2022,0.1,15.0,0.684,16.77200000000001,1.1783169485502105
49,49,2022-10-25,TATASTEEL,101.2,101.2,101.2,101.2,0.0,0.0,0.0,0.0,0.0,0.0,25,10,2022,0.1,15.0,-0.1,16.672000000000008,1.1771386316016603
50,50,2022-10-25,TATASTEEL,101.15,102.5,100.7,101.2,1.335,-0.445,0.049,1.335,0.445,0.445,25,10,2022,0.1,15.0,-0.2,16.47200000000001,1.174784354338457
51,51,2022-10-27,TATASTEEL,102.25,104.65,102.05,104.2,2.347,-0.196,1.907,2.347,0.196,0.196,27,10,2022,0.1,15.0,-0.2,16.27200000000001,1.17243478562978
52,52,2022-10-28,TATASTEEL,104.1,104.6,100.8,101.6,0.48,-3.17,-2.402,3.17,0.48,0.48,28,10,2022,0.1,15.0,-0.2,16.07200000000001,1.1700899160585205
53,53,2022-10-31,TATASTEEL,101.9,102.15,100.3,101.55,0.245,-1.57,-0.343,1.57,0.245,0.245,31,10,2022,0.1,15.0,-0.2,15.87200000000001,1.1677497362264035
54,54,2022-11-01,TATASTEEL,98.55,101.45,98.55,101.2,2.943,0.0,2.689,2.943,0.0,0.0,1,11,2022,0.1,15.0,2.589,18.46100000000001,1.197982776897305
55,55,2022-11-02,TATASTEEL,101.0,103.0,100.8,101.25,1.98,-0.198,0.248,1.98,0.198,0.198,2,11,2022,0.1,15.0,-0.2,18.26100000000001,1.1955868113435104
56,56,2022-11-03,TATASTEEL,101.25,101.25,101.25,101.25,0.0,0.0,0.0,0.0,0.0,0.0,3,11,2022,0.1,15.0,-0.1,18.16100000000001,1.1943912245321668
