Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit
2022-08-16,TCS,3411.0,3414.85,3387.5,3392.7,0.113,-0.689,-0.536,0.689,0.113,0.113,16,8,2022,0.01,6.2,-0.02
2022-08-17,TCS,3385.1,3417.95,3371.1,3401.1,0.97,-0.414,0.473,0.97,0.414,0.414,17,8,2022,0.01,6.2,-0.02
2022-08-18,TCS,3390.0,3392.0,3362.0,3381.25,0.059,-0.826,-0.258,0.826,0.059,0.059,18,8,2022,0.01,6.2,-0.02
2022-08-19,TCS,3387.0,3421.5,3371.25,3385.75,1.019,-0.465,-0.037,1.019,0.465,0.465,19,8,2022,0.01,6.2,-0.02
2022-08-22,TCS,3365.0,3384.1,3347.4,3354.55,0.568,-0.523,-0.311,0.568,0.523,0.523,22,8,2022,0.01,6.2,-0.02
2022-08-23,TCS,3319.95,3341.9,3270.0,3284.6,0.661,-1.505,-1.065,1.505,0.661,0.661,23,8,2022,0.01,6.2,-0.02
2022-08-24,TCS,3292.0,3308.0,3250.2,3255.35,0.486,-1.27,-1.113,1.27,0.486,0.486,24,8,2022,0.01,6.2,-0.02
2022-08-25,TCS,3276.0,3278.15,3214.75,3218.2,0.066,-1.87,-1.764,1.87,0.066,0.066,25,8,2022,0.01,6.2,-0.02
2022-08-26,TCS,3234.3,3257.0,3216.8,3222.2,0.702,-0.541,-0.374,0.702,0.541,0.541,26,8,2022,0.01,6.2,-0.02
2022-08-29,TCS,3125.0,3142.7,3081.0,3132.55,0.566,-1.408,0.242,1.408,0.566,0.566,29,8,2022,0.01,6.2,-0.02
2022-08-30,TCS,3155.0,3226.5,3142.1,3211.15,2.266,-0.409,1.78,2.266,0.409,0.409,30,8,2022,0.01,6.2,-0.02
2022-09-01,TCS,3190.0,3190.0,3121.0,3131.7,0.0,-2.163,-1.828,2.163,0.0,0.0,1,9,2022,0.01,6.2,1.818
