Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit
2022-08-16,WIPRO,438.5,439.8,436.6,437.1,0.296,-0.433,-0.319,0.433,0.296,0.296,16,8,2022,0.01,4.0,-0.02
2022-08-17,WIPRO,437.25,444.9,436.65,443.05,1.75,-0.137,1.326,1.75,0.137,0.137,17,8,2022,0.01,4.0,-0.02
2022-08-18,WIPRO,441.75,441.75,434.05,435.05,0.0,-1.743,-1.517,1.743,0.0,0.0,18,8,2022,0.01,4.0,1.507
2022-08-19,WIPRO,438.95,442.5,431.0,432.45,0.809,-1.811,-1.481,1.811,0.809,0.809,19,8,2022,0.01,4.0,-0.02
2022-08-22,WIPRO,430.9,430.9,419.05,420.0,0.0,-2.75,-2.53,2.75,0.0,0.0,22,8,2022,0.01,4.0,2.52
2022-08-23,WIPRO,415.0,418.5,410.0,416.65,0.843,-1.205,0.398,1.205,0.843,0.843,23,8,2022,0.01,4.0,-0.02
2022-08-24,WIPRO,417.8,419.5,414.35,416.15,0.407,-0.826,-0.395,0.826,0.407,0.407,24,8,2022,0.01,4.0,-0.02
2022-08-25,WIPRO,419.3,420.1,414.95,415.2,0.191,-1.037,-0.978,1.037,0.191,0.191,25,8,2022,0.01,4.0,-0.02
2022-08-26,WIPRO,418.5,422.5,416.3,417.25,0.956,-0.526,-0.299,0.956,0.526,0.526,26,8,2022,0.01,4.0,-0.02
2022-08-29,WIPRO,405.0,406.35,399.0,404.35,0.333,-1.481,-0.16,1.481,0.333,0.333,29,8,2022,0.01,4.0,-0.02
2022-08-30,WIPRO,409.15,415.95,406.25,413.55,1.662,-0.709,1.075,1.662,0.709,0.709,30,8,2022,0.01,4.0,-0.02
2022-09-01,WIPRO,409.9,411.65,404.85,410.45,0.427,-1.232,0.134,1.232,0.427,0.427,1,9,2022,0.01,4.0,-0.02
2022-09-02,WIPRO,412.55,412.75,407.1,407.7,0.048,-1.321,-1.176,1.321,0.048,0.048,2,9,2022,0.01,4.0,-0.02
2022-09-05,WIPRO,407.0,408.0,404.0,405.5,0.246,-0.737,-0.369,0.737,0.246,0.246,5,9,2022,0.01,4.0,-0.02
2022-09-06,WIPRO,407.0,407.35,401.25,404.45,0.086,-1.413,-0.627,1.413,0.086,0.086,6,9,2022,0.01,4.0,-0.02
2022-09-07,WIPRO,402.1,408.85,401.0,407.45,1.679,-0.274,1.331,1.679,0.274,0.274,7,9,2022,0.01,4.0,-0.02
2022-09-08,WIPRO,410.0,414.35,409.6,412.8,1.061,-0.098,0.683,1.061,0.098,0.098,8,9,2022,0.01,4.0,-0.02
