,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
0,0,0,0,0,0,0,0,0,0,0,0,2022-08-16,YESBANK,15.3,16.0,15.3,15.9,4.575,0.0,3.922,4.575,0.0,0.0,16,8,2022,0.01,10.6,3.912,3.912,1.03912
1,1,1,1,1,1,1,1,1,1,1,1,2022-08-17,YESBANK,16.0,16.8,15.95,16.55,5.0,-0.313,3.438,5.0,0.313,0.313,17,8,2022,0.01,10.6,-0.02,3.892,1.038912176
2,2,2,2,2,2,2,2,2,2,2,2,2022-08-18,YESBANK,16.55,16.8,16.35,16.65,1.511,-1.208,0.604,1.511,1.208,1.208,18,8,2022,0.01,10.6,-0.02,3.872,1.0387043935648
3,3,3,3,3,3,3,3,3,3,3,3,2022-08-19,YESBANK,16.65,16.75,16.15,16.55,0.601,-3.003,-0.601,3.003,0.601,0.601,19,8,2022,0.01,10.6,-0.02,3.852,1.038496652686087
4,4,4,4,4,4,4,4,4,4,4,4,2022-08-22,YESBANK,16.5,16.6,16.25,16.35,0.606,-1.515,-0.909,1.515,0.606,0.606,22,8,2022,0.01,10.6,-0.02,3.832,1.03828895335555
5,5,5,5,5,5,5,5,5,5,5,5,2022-08-23,YESBANK,16.15,16.85,16.15,16.3,4.334,0.0,0.929,4.334,0.0,0.0,23,8,2022,0.01,10.6,0.919,4.7509999999999994,1.0478308288368874
6,6,6,6,6,6,6,6,6,6,6,6,2022-08-24,YESBANK,16.35,16.75,16.25,16.6,2.446,-0.612,1.529,2.446,0.612,0.612,24,8,2022,0.01,10.6,-0.02,4.731,1.04762126267112
7,7,7,7,7,7,7,7,7,7,7,7,2022-08-25,YESBANK,16.8,16.95,16.45,16.5,0.893,-2.083,-1.786,2.083,0.893,0.893,25,8,2022,0.01,10.6,-0.02,4.711,1.047411738418586
8,8,8,8,8,8,8,8,8,8,8,8,2022-08-26,YESBANK,16.6,16.7,16.4,16.45,0.602,-1.205,-0.904,1.205,0.602,0.602,26,8,2022,0.01,10.6,-0.02,4.691000000000001,1.0472022560709022
9,9,9,9,9,9,9,9,9,9,9,9,2022-08-29,YESBANK,16.1,16.35,15.85,16.2,1.553,-1.553,0.621,1.553,1.553,1.553,29,8,2022,0.01,10.6,-0.02,4.671000000000001,1.0469928156196882
