Unnamed: 0,symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
0,ADANIENT,1,2014,263.8,269.9,229.25,238.85,2.312,-13.097,-9.458,13.097,2.312,2.312,2.76,47.6,6.698,6.698,1.06698
1,ADANIENT,2,2014,238.5,256.5,210.1,254.25,7.547,-11.908,6.604,11.908,7.547,7.547,2.76,47.6,-5.52,1.178,1.008082704
2,ADANIENT,3,2014,255,372.8,255,368,46.196,0,44.314,46.196,0,0,2.76,47.6,41.554,42.732,1.426981391
3,ADANIENT,4,2014,370,477.9,347,417.85,29.162,-6.216,12.932,29.162,6.216,6.216,2.76,47.6,-5.52,37.212,1.348212018
4,ADANIENT,5,2014,423.6,585,412.1,478.9,38.102,-2.715,13.055,38.102,2.715,2.715,2.76,47.6,10.295,47.507,1.487010445
5,ADANIENT,6,2014,485,514.3,431.8,455.05,6.041,-10.969,-6.175,10.969,6.041,6.041,2.76,47.6,-5.52,41.987,1.404927469
6,ADANIENT,7,2014,457.6,506.5,409.2,433.8,10.686,-10.577,-5.201,10.686,10.577,10.577,2.76,47.6,-5.52,36.467,1.327375472
7,ADANIENT,8,2014,429.35,515.8,419.1,478.9,20.135,-2.387,11.541,20.135,2.387,2.387,2.76,47.6,8.781,45.248,1.443932313
8,ADANIENT,9,2014,480.75,523.9,463.9,470.7,8.976,-3.505,-2.09,8.976,3.505,3.505,2.76,47.6,-5.52,39.728,1.364227249
9,ADANIENT,10,2014,469,488,434.1,484.25,4.051,-7.441,3.252,7.441,4.051,4.051,2.76,47.6,-5.52,34.208,1.288921905
10,ADANIENT,11,2014,483,504.6,450.25,458.95,4.472,-6.781,-4.979,6.781,4.472,4.472,2.76,47.6,-5.52,28.688,1.217773416
11,ADANIENT,12,2014,457.1,488.6,427,486.3,6.891,-6.585,6.388,6.891,6.585,6.585,2.76,47.6,-5.52,23.168,1.150552323
12,ADANIENT,1,2015,485.4,646,480.6,627.3,33.086,-0.989,29.234,33.086,0.989,0.989,2.76,47.6,26.474,49.642,1.455149545
13,ADANIENT,2,2015,651,719.8,600.05,697.5,10.568,-7.826,7.143,10.568,7.826,7.826,2.76,47.6,-5.52,44.122,1.37482529
14,ADANIENT,3,2015,702,728.65,581.5,615.35,3.796,-17.165,-12.343,17.165,3.796,3.796,2.76,47.6,-5.52,38.602,1.298934934
15,ADANIENT,4,2015,608.8,689,603,674.2,13.173,-0.953,10.742,13.173,0.953,0.953,2.76,47.6,7.982,46.584,1.402615921
16,ADANIENT,5,2015,678,803.95,633.5,706.3,18.577,-6.563,4.174,18.577,6.563,6.563,2.76,47.6,-5.52,41.064,1.325191522
17,ADANIENT,6,2015,709,721.7,89.75,90.85,1.791,-87.341,-87.186,87.341,1.791,1.791,2.76,47.6,44.84,85.904,1.9194074
