,symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
0,BANKNIFTY,12,2015,17456.75,17495.45,16188.05,16922.2,0.222,-7.268,-3.062,7.268,0.222,0.222,1.43,21.700000000000003,1.632,1.632,1.01632
1,BANKNIFTY,1,2016,16932.5,17067.45,14754.65,15522.4,0.797,-12.862,-8.328,12.862,0.797,0.797,1.43,21.700000000000003,6.898,8.53,1.0864257536
2,BANKNIFTY,2,2016,15547.75,15565.5,13407.25,13946.4,0.114,-13.767,-10.3,13.767,0.114,0.114,1.43,21.700000000000003,8.870000000000001,17.4,1.18279171794432
3,BANKNIFTY,3,2016,14064.8,16282.75,14064.8,16141.65,15.77,0.0,14.766,15.77,0.0,0.0,1.43,21.700000000000003,13.336,30.735999999999997,1.3405288214493742
4,BANKNIFTY,4,2016,16099.65,17029.85,15440.25,16795.0,5.778,-4.096,4.319,5.778,4.096,4.096,1.43,21.700000000000003,-2.86,27.875999999999998,1.3021896971559221
5,BANKNIFTY,5,2016,16614.0,17666.05,16186.25,17620.9,6.332,-2.575,6.061,6.332,2.575,2.575,1.43,21.700000000000003,-2.86,25.016,1.2649470718172628
6,BANKNIFTY,6,2016,17670.85,18051.5,16946.35,17935.4,2.154,-4.1,1.497,4.1,2.154,2.154,1.43,21.700000000000003,-2.86,22.156,1.2287695855632892
7,BANKNIFTY,7,2016,18019.7,19158.0,17910.9,18953.15,6.317,-0.604,5.18,6.317,0.604,0.604,1.43,21.700000000000003,3.75,25.906,1.2748484450219126
8,BANKNIFTY,8,2016,18896.5,19823.4,18443.65,19787.6,4.905,-2.396,4.716,4.905,2.396,2.396,1.43,21.700000000000003,-2.86,23.046,1.238387779494286
9,BANKNIFTY,9,2016,19805.8,20575.8,19059.05,19285.7,3.888,-3.77,-2.626,3.888,3.77,3.77,1.43,21.700000000000003,-2.86,20.186,1.2029698890007494
10,BANKNIFTY,10,2016,19395.55,19922.7,18824.4,19523.55,2.718,-2.945,0.66,2.945,2.718,2.718,1.43,21.700000000000003,-2.86,17.326,1.1685649501753281
11,BANKNIFTY,11,2016,19578.6,20309.65,18143.7,18627.8,3.734,-7.329,-4.856,7.329,3.734,3.734,1.43,21.700000000000003,-2.86,14.466000000000001,1.1351439926003137
12,BANKNIFTY,12,2016,18676.75,18739.65,17606.9,18177.2,0.337,-5.728,-2.675,5.728,0.337,0.337,1.43,21.700000000000003,1.245,15.711000000000002,1.1492765353081877
13,BANKNIFTY,1,2017,18242.3,19794.95,17830.95,19515.15,8.511,-2.255,6.977,8.511,2.255,2.255,1.43,21.700000000000003,-2.86,12.851000000000003,1.1164072263983735
14,BANKNIFTY,2,2017,19522.4,21042.35,19470.95,20607.25,7.786,-0.264,5.557,7.786,0.264,0.264,1.43,21.700000000000003,4.127000000000001,16.978,1.1624813526318343
15,BANKNIFTY,3,2017,20698.9,21696.0,20423.35,21444.15,4.817,-1.331,3.6,4.817,1.331,1.331,1.43,21.700000000000003,2.17,19.148000000000003,1.187707197983945
16,BANKNIFTY,4,2017,21539.2,22383.0,21386.2,22358.25,3.918,-0.71,3.803,3.918,0.71,0.71,1.43,21.700000000000003,2.373,21.521000000000004,1.215891489792104
17,BANKNIFTY,5,2017,22412.55,23469.45,22240.05,23424.8,4.716,-0.77,4.516,4.716,0.77,0.77,1.43,21.700000000000003,3.0860000000000003,24.607000000000006,1.2534139011670884
18,BANKNIFTY,6,2017,23394.1,23897.85,22996.4,23211.2,2.153,-1.7,-0.782,2.153,1.7,1.7,1.43,21.700000000000003,-2.86,21.747000000000007,1.2175662635937097
19,BANKNIFTY,7,2017,23240.35,25168.1,23144.3,25103.65,8.295,-0.413,8.018,8.295,0.413,0.413,1.43,21.700000000000003,6.588000000000001,28.335000000000008,1.2977795290392633
20,BANKNIFTY,8,2017,25152.85,25198.8,23822.2,24318.4,0.183,-5.29,-3.318,5.29,0.183,0.183,1.43,21.700000000000003,1.888,30.223000000000006,1.3222816065475247
