,symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
0,IDEA,1,2014,167.9,170.2,135.5,143.5,1.37,-19.297,-14.532,19.297,1.37,1.37,1.05,26.4,-2.1,-2.1,0.979
1,IDEA,2,2014,143.0,153.1,125.1,128.9,7.063,-12.517,-9.86,12.517,7.063,7.063,1.05,26.4,-2.1,-4.2,0.958441
2,IDEA,3,2014,129.55,143.85,129.0,137.45,11.038,-0.425,6.098,11.038,0.425,0.425,1.05,26.4,5.048,0.8479999999999999,1.00682310168
3,IDEA,4,2014,139.0,148.7,131.8,134.7,6.978,-5.18,-3.094,6.978,5.18,5.18,1.05,26.4,-2.1,-1.2520000000000002,0.98567981654472
4,IDEA,5,2014,136.0,149.8,129.15,137.85,10.147,-5.037,1.36,10.147,5.037,5.037,1.05,26.4,-2.1,-3.3520000000000003,0.9649805403972809
5,IDEA,6,2014,138.0,148.45,129.85,132.45,7.572,-5.906,-4.022,7.572,5.906,5.906,1.05,26.4,-2.1,-5.452,0.944715949048938
6,IDEA,7,2014,133.1,158.6,132.1,156.85,19.159,-0.751,17.844,19.159,0.751,0.751,1.05,26.4,16.794,11.342,1.1033715455322166
7,IDEA,8,2014,155.5,166.0,151.6,161.9,6.752,-2.508,4.116,6.752,2.508,2.508,1.05,26.4,-2.1,9.242,1.08020074307604
8,IDEA,9,2014,163.0,178.1,161.75,166.1,9.264,-0.767,1.902,9.264,0.767,0.767,1.05,26.4,0.8519999999999999,10.094000000000001,1.089404053407048
9,IDEA,10,2014,168.0,171.35,145.25,162.75,1.994,-13.542,-3.125,13.542,1.994,1.994,1.05,26.4,-2.1,7.9940000000000015,1.0665265682854999
10,IDEA,11,2014,163.8,173.0,157.65,158.7,5.617,-3.755,-3.114,5.617,3.755,3.755,1.05,26.4,-2.1,5.894000000000002,1.0441295103515043
11,IDEA,12,2014,158.65,164.5,138.1,153.8,3.687,-12.953,-3.057,12.953,3.687,3.687,1.05,26.4,-2.1,3.794000000000002,1.0222027906341227
12,IDEA,1,2015,154.0,172.1,144.6,154.85,11.753,-6.104,0.552,11.753,6.104,6.104,1.05,26.4,-2.1,1.6940000000000017,1.0007365320308061
13,IDEA,2,2015,154.1,161.1,148.55,152.9,4.543,-3.602,-0.779,4.543,3.602,3.602,1.05,26.4,-2.1,-0.40599999999999836,0.9797210648581592
14,IDEA,3,2015,153.1,187.5,143.1,184.0,22.469,-6.532,20.183,22.469,6.532,6.532,1.05,26.4,-2.1,-2.5059999999999985,0.9591469224961379
15,IDEA,4,2015,182.15,204.0,173.75,175.0,11.996,-4.612,-3.925,11.996,4.612,4.612,1.05,26.4,-2.1,-4.605999999999998,0.939004837123719
16,IDEA,5,2015,177.9,182.1,165.0,173.2,2.361,-7.251,-2.642,7.251,2.361,2.361,1.05,26.4,-2.1,-6.705999999999998,0.9192857355441209
17,IDEA,6,2015,173.6,180.4,165.0,176.15,3.917,-4.954,1.469,4.954,3.917,3.917,1.05,26.4,-2.1,-8.805999999999997,0.8999807350976943
18,IDEA,7,2015,176.5,186.5,165.75,173.35,5.666,-6.091,-1.785,6.091,5.666,5.666,1.05,26.4,-2.1,-10.905999999999997,0.8810811396606427
19,IDEA,8,2015,175.0,175.0,141.0,155.85,0.0,-19.429,-10.943,19.429,0.0,0.0,1.05,26.4,9.893,-1.0129999999999963,0.96824649680727
20,IDEA,9,2015,153.7,155.45,137.15,149.5,1.139,-10.768,-2.733,10.768,1.139,1.139,1.05,26.4,-2.1,-3.1129999999999964,0.9479133203743173
21,IDEA,10,2015,149.05,160.25,138.0,140.0,7.514,-7.414,-6.072,7.514,7.414,7.414,1.05,26.4,-2.1,-5.2129999999999965,0.9280071406464566
22,IDEA,11,2015,141.0,149.75,126.85,141.4,6.206,-10.035,0.284,10.035,6.206,6.206,1.05,26.4,-2.1,-7.312999999999997,0.908518990692881
23,IDEA,12,2015,141.1,145.2,129.1,143.65,2.906,-8.505,1.807,8.505,2.906,2.906,1.05,26.4,-2.1,-9.412999999999997,0.8894400918883305
24,IDEA,1,2016,142.95,144.45,102.3,103.15,1.049,-28.437,-27.842,28.437,1.049,1.049,1.05,26.4,25.35,15.937000000000005,1.1149131551820224
25,IDEA,2,2016,104.05,112.35,97.2,104.3,7.977,-6.583,0.24,7.977,6.583,6.583,1.05,26.4,-2.1,13.837000000000005,1.0914999789231998
26,IDEA,3,2016,104.0,115.1,98.05,110.2,10.673,-5.721,5.962,10.673,5.721,5.721,1.05,26.4,-2.1,11.737000000000005,1.0685784793658126
27,IDEA,4,2016,110.5,128.35,106.4,118.55,16.154,-3.71,7.285,16.154,3.71,3.71,1.05,26.4,-2.1,9.637000000000006,1.0461383312991306
28,IDEA,5,2016,118.0,121.25,105.3,114.95,2.754,-10.763,-2.585,10.763,2.754,2.754,1.05,26.4,-2.1,7.537000000000006,1.0241694263418488
29,IDEA,6,2016,115.75,121.8,96.55,106.6,5.227,-16.587,-7.905,16.587,5.227,5.227,1.05,26.4,-2.1,5.4370000000000065,1.0026618683886699
30,IDEA,7,2016,107.0,112.65,100.5,104.7,5.28,-6.075,-2.15,6.075,5.28,5.28,1.05,26.4,-2.1,3.3370000000000064,0.9816059691525078
31,IDEA,8,2016,105.05,107.0,92.5,93.45,1.856,-11.947,-11.042,11.947,1.856,1.856,1.05,26.4,-2.1,1.2370000000000063,0.9609922438003051
32,IDEA,9,2016,93.1,93.7,78.0,79.1,0.644,-16.219,-15.038,16.219,0.644,0.644,1.05,26.4,13.988,15.225000000000005,1.095415838863092
33,IDEA,10,2016,80.1,82.6,71.1,76.8,3.121,-11.236,-4.12,11.236,3.121,3.121,1.05,26.4,-2.1,13.125000000000005,1.072412106246967
34,IDEA,11,2016,76.8,79.9,65.8,77.45,4.036,-14.323,0.846,14.323,4.036,4.036,1.05,26.4,-2.1,11.025000000000006,1.0498914520157805
35,IDEA,12,2016,77.1,77.85,68.15,74.15,0.973,-11.608,-3.826,11.608,0.973,0.973,1.05,26.4,2.776,13.801000000000005,1.0790364387237386
36,IDEA,1,2017,74.5,119.0,66.3,110.1,59.732,-11.007,47.785,59.732,11.007,11.007,1.05,26.4,-2.1,11.701000000000006,1.05637667351054
37,IDEA,2,2017,110.3,122.4,101.65,115.85,10.97,-7.842,5.032,10.97,7.842,7.842,1.05,26.4,-2.1,9.601000000000006,1.0341927633668186
38,IDEA,3,2017,115.0,123.5,85.3,85.85,7.391,-25.826,-25.348,25.826,7.391,7.391,1.05,26.4,-2.1,7.5010000000000066,1.0124747153361153
39,IDEA,4,2017,85.7,89.5,84.3,85.95,4.434,-1.634,0.292,4.434,1.634,1.634,1.05,26.4,-2.1,5.401000000000007,0.9912127463140569
40,IDEA,5,2017,86.0,93.35,75.8,80.0,8.547,-11.86,-6.977,11.86,8.547,8.547,1.05,26.4,-2.1,3.301000000000007,0.9703972786414616
41,IDEA,6,2017,79.25,85.7,76.1,85.25,8.139,-3.975,7.571,8.139,3.975,3.975,1.05,26.4,-2.1,1.2010000000000067,0.950018935789991
42,IDEA,7,2017,85.25,99.7,81.85,92.45,16.95,-3.988,8.446,16.95,3.988,3.988,1.05,26.4,-2.1,-0.8989999999999934,0.9300685381384012
