,symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
0,IBIPL,1,2014,3.65,4.0,2.75,3.0,9.589,-24.658,-17.808,24.658,9.589,9.589,0.01,29.9,-0.02,-0.02,0.9998
1,IBIPL,2,2014,3.0,3.45,2.65,3.0,15.0,-11.667,0.0,15.0,11.667,11.667,0.01,29.9,-0.02,-0.04,0.99960004
2,IBIPL,3,2014,2.95,3.15,2.65,3.05,6.78,-10.169,3.39,10.169,6.78,6.78,0.01,29.9,-0.02,-0.06,0.9994001199920001
3,IBIPL,4,2014,3.0,4.05,2.9,3.65,35.0,-3.333,21.667,35.0,3.333,3.333,0.01,29.9,-0.02,-0.08,0.9992002399680017
4,IBIPL,5,2014,3.7,6.5,3.35,6.2,75.676,-9.459,67.568,75.676,9.459,9.459,0.01,29.9,-0.02,-0.1,0.9990003999200081
5,IBIPL,6,2014,6.15,6.95,5.55,6.8,13.008,-9.756,10.569,13.008,9.756,9.756,0.01,29.9,-0.02,-0.12000000000000001,0.9988005998400241
6,IBIPL,7,2014,7.1,7.5,4.85,5.5,5.634,-31.69,-22.535,31.69,5.634,5.634,0.01,29.9,-0.02,-0.14,0.9986008397200561
7,IBIPL,8,2014,5.7,5.75,4.7,4.8,0.877,-17.544,-15.789,17.544,0.877,0.877,0.01,29.9,-0.02,-0.16,0.9984011195521121
8,IBIPL,9,2014,4.85,6.25,4.25,4.4,28.866,-12.371,-9.278,28.866,12.371,12.371,0.01,29.9,-0.02,-0.18,0.9982014393282017
9,IBIPL,10,2014,4.4,4.6,3.7,3.8,4.545,-15.909,-13.636,15.909,4.545,4.545,0.01,29.9,-0.02,-0.19999999999999998,0.9980017990403361
10,IBIPL,11,2014,3.85,4.2,3.4,3.5,9.091,-11.688,-9.091,11.688,9.091,9.091,0.01,29.9,-0.02,-0.21999999999999997,0.9978021986805281
11,RTNINFRA,12,2014,3.5,3.9,2.85,3.0,11.429,-18.571,-14.286,18.571,11.429,11.429,0.01,29.9,-0.02,-0.23999999999999996,0.997602638240792
12,RTNINFRA,1,2015,2.95,3.25,2.2,3.05,10.169,-25.424,3.39,25.424,10.169,10.169,0.01,29.9,-0.02,-0.25999999999999995,0.9974031177131438
13,RTNINFRA,2,2015,3.1,3.4,2.5,2.75,9.677,-19.355,-11.29,19.355,9.677,9.677,0.01,29.9,-0.02,-0.27999999999999997,0.9972036370896012
14,RTNINFRA,3,2015,2.8,2.85,1.85,2.1,1.786,-33.929,-25.0,33.929,1.786,1.786,0.01,29.9,-0.02,-0.3,0.9970041963621834
15,RTNINFRA,4,2015,2.05,2.9,2.0,2.1,41.463,-2.439,2.439,41.463,2.439,2.439,0.01,29.9,-0.02,-0.32,0.996804795522911
16,RTNINFRA,5,2015,2.15,2.55,1.95,2.15,18.605,-9.302,0.0,18.605,9.302,9.302,0.01,29.9,-0.02,-0.34,0.9966054345638065
17,RTNINFRA,6,2015,2.15,2.5,2.0,2.05,16.279,-6.977,-4.651,16.279,6.977,6.977,0.01,29.9,-0.02,-0.36000000000000004,0.9964061134768937
18,RTNINFRA,7,2015,2.1,2.8,2.0,2.5,33.333,-4.762,19.048,33.333,4.762,4.762,0.01,29.9,-0.02,-0.38000000000000006,0.9962068322541984
19,RTNINFRA,8,2015,2.55,2.85,2.0,2.05,11.765,-21.569,-19.608,21.569,11.765,11.765,0.01,29.9,-0.02,-0.4000000000000001,0.9960075908877476
20,RTNINFRA,9,2015,2.1,2.3,1.85,2.1,9.524,-11.905,0.0,11.905,9.524,9.524,0.01,29.9,-0.02,-0.4200000000000001,0.9958083893695701
21,RTNINFRA,10,2015,2.2,3.3,2.05,3.0,50.0,-6.818,36.364,50.0,6.818,6.818,0.01,29.9,-0.02,-0.4400000000000001,0.9956092276916961
22,RTNINFRA,11,2015,3.05,3.65,2.95,3.45,19.672,-3.279,13.115,19.672,3.279,3.279,0.01,29.9,-0.02,-0.46000000000000013,0.9954101058461579
23,RTNINFRA,12,2015,3.45,3.65,3.2,3.3,5.797,-7.246,-4.348,7.246,5.797,5.797,0.01,29.9,-0.02,-0.48000000000000015,0.9952110238249886
24,RTNINFRA,1,2016,3.2,3.75,3.1,3.2,17.187,-3.125,0.0,17.187,3.125,3.125,0.01,29.9,-0.02,-0.5000000000000001,0.9950119816202236
25,RTNINFRA,2,2016,3.25,3.35,3.1,3.2,3.077,-4.615,-1.538,4.615,3.077,3.077,0.01,29.9,-0.02,-0.5200000000000001,0.9948129792238997
26,RTNINFRA,3,2016,3.2,3.6,3.2,3.5,12.5,0.0,9.375,12.5,0.0,0.0,0.01,29.9,9.365,8.845,1.0879772147282178
27,RTNINFRA,4,2016,3.5,3.85,3.35,3.55,10.0,-4.286,1.429,10.0,4.286,4.286,0.01,29.9,-0.02,8.825000000000001,1.0877596192852723
28,RTNINFRA,5,2016,3.5,4.35,3.45,3.7,24.286,-1.429,5.714,24.286,1.429,1.429,0.01,29.9,-0.02,8.805000000000001,1.0875420673614153
29,RTNINFRA,6,2016,3.8,3.9,3.5,3.75,2.632,-7.895,-1.316,7.895,2.632,2.632,0.01,29.9,-0.02,8.785000000000002,1.087324558947943
30,RTNINFRA,7,2016,3.8,3.95,3.45,3.75,3.947,-9.211,-1.316,9.211,3.947,3.947,0.01,29.9,-0.02,8.765000000000002,1.0871070940361534
31,RTNINFRA,8,2016,3.75,3.8,3.5,3.6,1.333,-6.667,-4.0,6.667,1.333,1.333,0.01,29.9,-0.02,8.745000000000003,1.086889672617346
32,RTNINFRA,9,2016,3.55,3.7,3.05,3.3,4.225,-14.085,-7.042,14.085,4.225,4.225,0.01,29.9,-0.02,8.725000000000003,1.0866722946828227
33,RTNINFRA,10,2016,3.35,3.5,3.2,3.35,4.478,-4.478,0.0,4.478,4.478,4.478,0.01,29.9,-0.02,8.705000000000004,1.0864549602238862
34,RTNINFRA,11,2016,3.4,3.4,2.85,3.05,0.0,-16.176,-10.294,16.176,0.0,0.0,0.01,29.9,10.284,18.989000000000004,1.1981859883333108
35,RTNINFRA,12,2016,3.05,3.15,2.95,3.0,3.279,-3.279,-1.639,3.279,3.279,3.279,0.01,29.9,-0.02,18.969000000000005,1.197946351135644
36,RTNINFRA,1,2017,3.0,3.1,2.9,2.95,3.333,-3.333,-1.667,3.333,3.333,3.333,0.01,29.9,-0.02,18.949000000000005,1.197706761865417
37,RTNINFRA,2,2017,2.95,3.3,2.9,3.2,11.864,-1.695,8.475,11.864,1.695,1.695,0.01,29.9,-0.02,18.929000000000006,1.1974672205130439
38,RTNINFRA,3,2017,3.2,3.9,3.2,3.9,21.875,0.0,21.875,21.875,0.0,0.0,0.01,29.9,21.865,40.794000000000004,1.4592934282782208
39,RTNINFRA,4,2017,4.1,5.1,3.7,4.1,24.39,-9.756,0.0,24.39,9.756,9.756,0.01,29.9,-0.02,40.774,1.4590015695925653
40,RTNINFRA,5,2017,4.1,4.2,3.5,3.7,2.439,-14.634,-9.756,14.634,2.439,2.439,0.01,29.9,-0.02,40.754,1.4587097692786468
