Unnamed: 0.1,Unnamed: 0,symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
0,0,SUZLON,1,2014,10.45,12.3,9.3,10.7,17.703,-11.005,2.392,17.703,11.005,11.005,0.01,26.3,-0.02,-8.02,0.9198
1,1,SUZLON,2,2014,10.75,11.8,9.95,10.1,9.767,-7.442,-6.047,9.767,7.442,7.442,0.01,26.3,-0.02,-16.04,0.8460320399999999
2,2,SUZLON,3,2014,10.0,11.3,9.45,11.1,13.0,-5.5,11.0,13.0,5.5,5.5,0.01,26.3,-0.02,-24.06,0.7781802703919999
3,3,SUZLON,4,2014,11.4,15.6,11.0,13.05,36.842,-3.509,14.474,36.842,3.509,3.509,0.01,26.3,-0.02,1.8300000000000016,0.9796511423964888
4,4,SUZLON,5,2014,13.2,26.45,13.2,22.0,100.379,0.0,66.667,100.379,0.0,0.0,0.01,26.3,26.29,27.72,1.2332828231629398
5,5,SUZLON,6,2014,24.0,36.75,23.55,28.35,53.125,-1.875,18.125,53.125,1.875,1.875,0.01,26.3,-0.02,53.61,1.5525797460798252
6,6,SUZLON,7,2014,27.8,28.85,20.45,21.7,3.777,-26.439,-21.942,26.439,3.777,3.777,0.01,26.3,-0.02,71.542,1.83098834614686
7,7,SUZLON,8,2014,21.3,24.9,20.55,21.55,16.901,-3.521,1.174,16.901,3.521,3.521,0.01,26.3,-0.02,68.706,1.779061516650135
8,8,SUZLON,9,2014,21.75,24.45,12.9,12.9,12.414,-40.69,-40.69,40.69,12.414,12.414,0.01,26.3,-0.02,60.68600000000001,1.6363807830147938
9,9,SUZLON,10,2014,12.3,14.0,10.85,13.45,13.821,-11.789,9.35,13.821,11.789,11.789,0.01,26.3,-0.02,52.66600000000001,1.5051430442170073
10,10,SUZLON,11,2014,13.85,15.65,13.3,14.05,12.996,-3.971,1.444,12.996,3.971,3.971,0.01,26.3,-0.02,50.10000000000001,1.4665210737023988
11,11,SUZLON,12,2014,14.0,15.55,12.1,14.7,11.071,-13.571,5.0,13.571,11.071,11.071,0.01,26.3,-0.02,42.08000000000001,1.3489060835914664
12,12,SUZLON,1,2015,14.65,18.6,13.7,16.2,26.962,-6.485,10.58,26.962,6.485,6.485,0.01,26.3,-0.02,34.06000000000002,1.2407238156874307
13,13,SUZLON,2,2015,16.2,29.3,16.0,27.25,80.864,-1.235,68.21,80.864,1.235,1.235,0.01,26.3,-0.02,59.95000000000002,1.5619472115689068
14,14,SUZLON,3,2015,27.55,31.35,24.55,27.35,13.793,-10.889,-0.726,13.793,10.889,10.889,0.01,26.3,-0.02,51.93000000000002,1.4366790452010805
15,15,SUZLON,4,2015,27.2,30.25,22.25,23.8,11.213,-18.199,-12.5,18.199,11.213,11.213,0.01,26.3,-0.02,43.910000000000025,1.3214573857759535
16,16,SUZLON,5,2015,24.1,26.85,22.6,25.2,11.411,-6.224,4.564,11.411,6.224,6.224,0.01,26.3,-0.02,35.89000000000003,1.215476503436722
17,17,SUZLON,6,2015,23.8,24.6,20.0,22.2,3.361,-15.966,-6.723,15.966,3.361,3.361,0.01,26.3,-0.02,38.60300000000003,1.2484523809749606
