Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2012-09-20,ADANIENT,196.0,202.7,191.2,199.7,3.418,-2.449,1.888,3.418,2.449,2.449,20,9,2012
2012-09-21,ADANIENT,200.0,204.5,198.5,203.05,2.25,-0.75,1.525,2.25,0.75,0.75,21,9,2012
2012-09-24,ADANIENT,203.7,208.9,197.65,199.0,2.553,-2.97,-2.307,2.97,2.553,2.553,24,9,2012
2012-09-25,ADANIENT,199.5,204.9,192.2,200.3,2.707,-3.659,0.401,3.659,2.707,2.707,25,9,2012
2012-09-26,ADANIENT,200.35,202.35,196.55,198.25,0.998,-1.897,-1.048,1.897,0.998,0.998,26,9,2012
2012-09-27,ADANIENT,198.95,201.0,195.6,196.3,1.03,-1.684,-1.332,1.684,1.03,1.03,27,9,2012
2012-09-28,ADANIENT,197.85,203.75,197.85,201.15,2.982,0.0,1.668,2.982,0.0,0.0,28,9,2012
2012-10-01,ADANIENT,201.0,202.35,195.0,198.1,0.672,-2.985,-1.443,2.985,0.672,0.672,1,10,2012
2012-10-03,ADANIENT,199.2,212.45,198.15,208.6,6.652,-0.527,4.719,6.652,0.527,0.527,3,10,2012
2012-10-04,ADANIENT,209.1,227.8,209.1,225.15,8.943,0.0,7.676,8.943,0.0,0.0,4,10,2012
2012-10-05,ADANIENT,228.6,237.45,220.0,235.55,3.871,-3.762,3.04,3.871,3.762,3.762,5,10,2012
2012-10-08,ADANIENT,234.8,238.55,225.7,227.35,1.597,-3.876,-3.173,3.876,1.597,1.597,8,10,2012
2012-10-09,ADANIENT,227.95,232.35,218.8,220.3,1.93,-4.014,-3.356,4.014,1.93,1.93,9,10,2012
2012-10-10,ADANIENT,218.9,219.05,210.15,211.15,0.069,-3.997,-3.54,3.997,0.069,0.069,10,10,2012
2012-10-11,ADANIENT,212.0,227.7,208.4,225.35,7.406,-1.698,6.297,7.406,1.698,1.698,11,10,2012
2012-10-12,ADANIENT,225.0,231.3,221.3,222.65,2.8,-1.644,-1.044,2.8,1.644,1.644,12,10,2012
2012-10-15,ADANIENT,222.85,224.8,217.65,221.0,0.875,-2.333,-0.83,2.333,0.875,0.875,15,10,2012
2012-10-16,ADANIENT,218.0,226.7,213.2,214.35,3.991,-2.202,-1.674,3.991,2.202,2.202,16,10,2012
2012-10-17,ADANIENT,216.0,218.25,210.0,213.85,1.042,-2.778,-0.995,2.778,1.042,1.042,17,10,2012
2012-10-18,ADANIENT,215.0,221.85,212.5,220.75,3.186,-1.163,2.674,3.186,1.163,1.163,18,10,2012
2012-10-19,ADANIENT,219.5,220.9,213.8,216.15,0.638,-2.597,-1.526,2.597,0.638,0.638,19,10,2012
2012-10-22,ADANIENT,215.0,224.2,212.1,223.35,4.279,-1.349,3.884,4.279,1.349,1.349,22,10,2012
2012-10-23,ADANIENT,224.75,226.9,222.0,223.9,0.957,-1.224,-0.378,1.224,0.957,0.957,23,10,2012
2012-10-25,ADANIENT,224.4,225.5,218.5,221.8,0.49,-2.629,-1.159,2.629,0.49,0.49,25,10,2012
2012-10-26,ADANIENT,218.5,223.75,215.5,216.65,2.403,-1.373,-0.847,2.403,1.373,1.373,26,10,2012
2012-10-29,ADANIENT,217.5,219.9,214.0,215.75,1.103,-1.609,-0.805,1.609,1.103,1.103,29,10,2012
2012-10-30,ADANIENT,215.6,219.8,212.25,214.8,1.948,-1.554,-0.371,1.948,1.554,1.554,30,10,2012
2012-10-31,ADANIENT,215.0,218.2,214.5,215.35,1.488,-0.233,0.163,1.488,0.233,0.233,31,10,2012
2012-11-01,ADANIENT,215.9,226.4,215.45,225.6,4.863,-0.208,4.493,4.863,0.208,0.208,1,11,2012
2012-11-02,ADANIENT,227.1,231.25,224.0,225.1,1.827,-1.365,-0.881,1.827,1.365,1.365,2,11,2012
2012-11-05,ADANIENT,225.2,228.3,221.3,224.3,1.377,-1.732,-0.4,1.732,1.377,1.377,5,11,2012
2012-11-06,ADANIENT,224.95,229.95,224.35,227.9,2.223,-0.267,1.311,2.223,0.267,0.267,6,11,2012
2012-11-07,ADANIENT,228.5,233.5,227.25,228.9,2.188,-0.547,0.175,2.188,0.547,0.547,7,11,2012
2012-11-08,ADANIENT,228.0,229.45,222.4,226.95,0.636,-2.456,-0.461,2.456,0.636,0.636,8,11,2012
2012-11-09,ADANIENT,226.95,229.75,224.2,225.2,1.234,-1.212,-0.771,1.234,1.212,1.212,9,11,2012
2012-11-12,ADANIENT,225.9,228.5,224.7,226.0,1.151,-0.531,0.044,1.151,0.531,0.531,12,11,2012
2012-11-13,ADANIENT,227.0,228.0,223.6,224.8,0.441,-1.498,-0.969,1.498,0.441,0.441,13,11,2012
2012-11-15,ADANIENT,224.4,237.5,221.15,235.85,5.838,-1.448,5.102,5.838,1.448,1.448,15,11,2012
2012-11-16,ADANIENT,237.15,241.7,223.7,225.3,1.919,-5.672,-4.997,5.672,1.919,1.919,16,11,2012
2012-11-19,ADANIENT,226.0,228.65,222.0,225.5,1.173,-1.77,-0.221,1.77,1.173,1.173,19,11,2012
2012-11-20,ADANIENT,226.0,227.65,218.0,222.2,0.73,-3.54,-1.681,3.54,0.73,0.73,20,11,2012
2012-11-21,ADANIENT,222.0,226.6,219.3,225.1,2.072,-1.216,1.396,2.072,1.216,1.216,21,11,2012
2012-11-22,ADANIENT,225.2,226.95,220.2,223.85,0.777,-2.22,-0.599,2.22,0.777,0.777,22,11,2012
2012-11-23,ADANIENT,224.0,228.95,222.65,226.1,2.21,-0.603,0.937,2.21,0.603,0.603,23,11,2012
2012-11-26,ADANIENT,227.0,231.0,225.25,228.6,1.762,-0.771,0.705,1.762,0.771,0.771,26,11,2012
2012-11-27,ADANIENT,228.5,234.5,228.5,232.4,2.626,0.0,1.707,2.626,0.0,0.0,27,11,2012
2012-11-29,ADANIENT,232.55,234.7,228.8,230.75,0.925,-1.613,-0.774,1.613,0.925,0.925,29,11,2012
2012-11-30,ADANIENT,232.25,241.85,231.5,239.75,4.133,-0.323,3.229,4.133,0.323,0.323,30,11,2012
2012-12-03,ADANIENT,241.2,262.8,240.25,259.15,8.955,-0.394,7.442,8.955,0.394,0.394,3,12,2012
2012-12-04,ADANIENT,260.0,266.55,251.4,254.4,2.519,-3.308,-2.154,3.308,2.519,2.519,4,12,2012
2012-12-05,ADANIENT,250.0,260.0,248.0,249.25,4.0,-0.8,-0.3,4.0,0.8,0.8,5,12,2012
2012-12-06,ADANIENT,250.0,264.15,242.1,261.85,5.66,-3.16,4.74,5.66,3.16,3.16,6,12,2012
2012-12-07,ADANIENT,262.0,268.9,258.1,263.25,2.634,-1.489,0.477,2.634,1.489,1.489,7,12,2012
2012-12-10,ADANIENT,264.0,268.65,261.0,266.9,1.761,-1.136,1.098,1.761,1.136,1.136,10,12,2012
2012-12-11,ADANIENT,267.1,274.9,262.0,271.95,2.92,-1.909,1.816,2.92,1.909,1.909,11,12,2012
2012-12-12,ADANIENT,273.05,279.4,271.05,275.45,2.326,-0.732,0.879,2.326,0.732,0.732,12,12,2012
2012-12-13,ADANIENT,276.0,277.5,263.6,265.8,0.543,-4.493,-3.696,4.493,0.543,0.543,13,12,2012
2012-12-14,ADANIENT,265.0,271.5,260.95,269.4,2.453,-1.528,1.66,2.453,1.528,1.528,14,12,2012
2012-12-17,ADANIENT,270.0,281.8,268.5,280.2,4.37,-0.556,3.778,4.37,0.556,0.556,17,12,2012
2012-12-18,ADANIENT,282.55,285.35,278.0,282.65,0.991,-1.61,0.035,1.61,0.991,0.991,18,12,2012
2012-12-19,ADANIENT,282.05,296.8,280.0,291.7,5.23,-0.727,3.421,5.23,0.727,0.727,19,12,2012
2012-12-20,ADANIENT,292.6,293.25,269.0,271.0,0.222,-8.066,-7.382,8.066,0.222,0.222,20,12,2012
2012-12-21,ADANIENT,278.15,284.4,270.65,272.95,2.247,-2.696,-1.869,2.696,2.247,2.247,21,12,2012
