Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2016-09-20,ADANIENT,70.2,71.35,70.2,70.5,1.638,0.0,0.427,1.638,0.0,0.0,20,9,2016,0.01,49.900000000000006,0.417,0.417,1.00417
2016-09-21,ADANIENT,70.9,71.75,70.3,70.95,1.199,-0.846,0.071,1.199,0.846,0.846,21,9,2016,0.01,49.900000000000006,-0.02,0.39699999999999996,1.003969166
2016-09-22,ADANIENT,71.6,72.25,70.75,71.85,0.908,-1.187,0.349,1.187,0.908,0.908,22,9,2016,0.01,49.900000000000006,-0.02,0.37699999999999995,1.0037683721668
2016-09-23,ADANIENT,72.4,72.85,71.35,71.6,0.622,-1.45,-1.105,1.45,0.622,0.622,23,9,2016,0.01,49.900000000000006,-0.02,0.35699999999999993,1.0035676184923668
2016-09-26,ADANIENT,71.4,72.1,69.95,70.25,0.98,-2.031,-1.611,2.031,0.98,0.98,26,9,2016,0.01,49.900000000000006,-0.02,0.3369999999999999,1.0033669049686682
2016-09-27,ADANIENT,70.65,71.4,70.35,70.5,1.062,-0.425,-0.212,1.062,0.425,0.425,27,9,2016,0.01,49.900000000000006,-0.02,0.3169999999999999,1.0031662315876746
2016-09-28,ADANIENT,70.5,71.8,70.5,71.15,1.844,0.0,0.922,1.844,0.0,0.0,28,9,2016,0.01,49.900000000000006,0.912,1.2289999999999999,1.0123151076197543
2016-09-29,ADANIENT,71.7,72.1,64.1,64.9,0.558,-10.6,-9.484,10.6,0.558,0.558,29,9,2016,0.01,49.900000000000006,-0.02,1.2089999999999999,1.0121126445982305
2016-09-30,ADANIENT,64.8,66.3,63.3,65.7,2.315,-2.315,1.389,2.315,2.315,2.315,30,9,2016,0.01,49.900000000000006,-0.02,1.1889999999999998,1.0119102220693108
2016-10-03,ADANIENT,66.0,67.35,66.0,67.0,2.045,0.0,1.515,2.045,0.0,0.0,3,10,2016,0.01,49.900000000000006,1.505,2.694,1.0271394709114539
2016-10-04,ADANIENT,67.5,68.7,67.0,68.0,1.778,-0.741,0.741,1.778,0.741,0.741,4,10,2016,0.01,49.900000000000006,-0.02,2.674,1.0269340430172715
