Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2019-10-14,IRCTC,626.0,743.8,625.0,727.75,18.818,-0.16,16.254,18.818,0.16,0.16,14,10,2019
2019-10-15,IRCTC,736.0,747.4,696.05,713.15,1.549,-5.428,-3.105,5.428,1.549,1.549,15,10,2019
2019-10-16,IRCTC,714.0,721.0,698.25,700.65,0.98,-2.206,-1.87,2.206,0.98,0.98,16,10,2019
2019-10-17,IRCTC,700.1,733.0,687.15,724.3,4.699,-1.85,3.457,4.699,1.85,1.85,17,10,2019
2019-10-18,IRCTC,725.0,789.9,716.05,779.15,8.952,-1.234,7.469,8.952,1.234,1.234,18,10,2019
2019-10-22,IRCTC,786.95,866.75,781.0,844.7,10.14,-0.756,7.338,10.14,0.756,0.756,22,10,2019
2019-10-23,IRCTC,866.0,909.9,866.0,900.3,5.069,0.0,3.961,5.069,0.0,0.0,23,10,2019
2019-10-24,IRCTC,924.95,953.5,862.65,902.05,3.087,-6.735,-2.476,6.735,3.087,3.087,24,10,2019
2019-10-25,IRCTC,905.0,916.0,876.0,899.05,1.215,-3.204,-0.657,3.204,1.215,1.215,25,10,2019
2019-10-27,IRCTC,911.0,925.0,895.0,907.7,1.537,-1.756,-0.362,1.756,1.537,1.537,27,10,2019
2019-10-29,IRCTC,907.0,907.4,878.65,883.1,0.044,-3.126,-2.635,3.126,0.044,0.044,29,10,2019
2019-10-30,IRCTC,881.0,920.0,880.85,890.45,4.427,-0.017,1.073,4.427,0.017,0.017,30,10,2019
2019-10-31,IRCTC,900.0,907.7,877.0,881.7,0.856,-2.556,-2.033,2.556,0.856,0.856,31,10,2019
2019-11-01,IRCTC,885.0,907.95,883.1,890.5,2.593,-0.215,0.621,2.593,0.215,0.215,1,11,2019
2019-11-04,IRCTC,895.0,898.0,880.25,883.45,0.335,-1.648,-1.291,1.648,0.335,0.335,4,11,2019
2019-11-05,IRCTC,886.7,907.0,871.3,881.5,2.289,-1.737,-0.586,2.289,1.737,1.737,5,11,2019
2019-11-06,IRCTC,885.0,895.0,881.0,884.3,1.13,-0.452,-0.079,1.13,0.452,0.452,6,11,2019
2019-11-07,IRCTC,889.0,892.0,880.1,881.5,0.337,-1.001,-0.844,1.001,0.337,0.337,7,11,2019
2019-11-08,IRCTC,879.75,891.0,872.3,876.9,1.279,-0.847,-0.324,1.279,0.847,0.847,8,11,2019
2019-11-11,IRCTC,886.0,943.35,884.0,932.9,6.473,-0.226,5.293,6.473,0.226,0.226,11,11,2019
2019-11-13,IRCTC,955.0,980.9,903.2,932.05,2.712,-5.424,-2.403,5.424,2.712,2.712,13,11,2019
2019-11-14,IRCTC,915.0,947.0,897.0,907.3,3.497,-1.967,-0.842,3.497,1.967,1.967,14,11,2019
2019-11-15,IRCTC,920.0,939.8,902.0,928.2,2.152,-1.957,0.891,2.152,1.957,1.957,15,11,2019
2019-11-18,IRCTC,934.1,937.9,917.05,922.15,0.407,-1.825,-1.279,1.825,0.407,0.407,18,11,2019
2019-11-19,IRCTC,922.75,924.0,900.0,902.55,0.135,-2.465,-2.189,2.465,0.135,0.135,19,11,2019
2019-11-20,IRCTC,909.0,917.0,890.0,895.7,0.88,-2.09,-1.463,2.09,0.88,0.88,20,11,2019
2019-11-21,IRCTC,898.0,906.0,880.1,884.8,0.891,-1.993,-1.47,1.993,0.891,0.891,21,11,2019
2019-11-22,IRCTC,889.0,889.0,872.4,875.9,0.0,-1.867,-1.474,1.867,0.0,0.0,22,11,2019
2019-11-25,IRCTC,879.0,890.0,873.1,882.15,1.251,-0.671,0.358,1.251,0.671,0.671,25,11,2019
2019-11-26,IRCTC,887.0,895.0,875.5,878.7,0.902,-1.297,-0.936,1.297,0.902,0.902,26,11,2019
2019-11-27,IRCTC,881.1,891.0,880.0,883.25,1.124,-0.125,0.244,1.124,0.125,0.125,27,11,2019
2019-11-28,IRCTC,884.95,887.8,878.1,882.45,0.322,-0.774,-0.283,0.774,0.322,0.322,28,11,2019
2019-11-29,IRCTC,882.15,918.7,878.0,897.25,4.143,-0.47,1.712,4.143,0.47,0.47,29,11,2019
2019-12-02,IRCTC,902.0,902.85,878.15,881.05,0.094,-2.644,-2.323,2.644,0.094,0.094,2,12,2019
2019-12-03,IRCTC,886.0,889.0,871.0,875.0,0.339,-1.693,-1.242,1.693,0.339,0.339,3,12,2019
2019-12-04,IRCTC,872.0,885.0,862.3,874.1,1.491,-1.112,0.241,1.491,1.112,1.112,4,12,2019
2019-12-05,IRCTC,879.5,888.9,872.0,875.95,1.069,-0.853,-0.404,1.069,0.853,0.853,5,12,2019
2019-12-06,IRCTC,877.0,878.65,868.15,872.35,0.188,-1.009,-0.53,1.009,0.188,0.188,6,12,2019
2019-12-09,IRCTC,876.55,876.55,864.15,867.4,0.0,-1.415,-1.044,1.415,0.0,0.0,9,12,2019
2019-12-10,IRCTC,869.8,869.8,855.3,860.9,0.0,-1.667,-1.023,1.667,0.0,0.0,10,12,2019
2019-12-11,IRCTC,863.9,869.95,855.5,864.65,0.7,-0.972,0.087,0.972,0.7,0.7,11,12,2019
2019-12-12,IRCTC,865.0,878.0,860.1,869.9,1.503,-0.566,0.566,1.503,0.566,0.566,12,12,2019
2019-12-13,IRCTC,874.25,903.4,870.1,890.5,3.334,-0.475,1.859,3.334,0.475,0.475,13,12,2019
2019-12-16,IRCTC,894.5,894.5,882.15,886.7,0.0,-1.381,-0.872,1.381,0.0,0.0,16,12,2019
2019-12-17,IRCTC,889.0,898.5,883.0,886.75,1.069,-0.675,-0.253,1.069,0.675,0.675,17,12,2019
2019-12-18,IRCTC,886.8,887.5,873.3,875.35,0.079,-1.522,-1.291,1.522,0.079,0.079,18,12,2019
2019-12-19,IRCTC,872.2,876.0,866.2,869.7,0.436,-0.688,-0.287,0.688,0.436,0.436,19,12,2019
2019-12-20,IRCTC,874.0,874.0,865.5,866.85,0.0,-0.973,-0.818,0.973,0.0,0.0,20,12,2019
2019-12-23,IRCTC,868.0,870.0,861.0,864.75,0.23,-0.806,-0.374,0.806,0.23,0.23,23,12,2019
2019-12-24,IRCTC,885.0,899.8,875.2,887.55,1.672,-1.107,0.288,1.672,1.107,1.107,24,12,2019
2019-12-26,IRCTC,886.0,888.0,874.5,876.9,0.226,-1.298,-1.027,1.298,0.226,0.226,26,12,2019
2019-12-27,IRCTC,881.95,885.4,877.0,880.6,0.391,-0.561,-0.153,0.561,0.391,0.391,27,12,2019
2019-12-30,IRCTC,885.25,937.45,883.3,926.15,5.897,-0.22,4.62,5.897,0.22,0.22,30,12,2019
2019-12-31,IRCTC,932.0,954.7,921.3,933.45,2.436,-1.148,0.156,2.436,1.148,1.148,31,12,2019
2020-01-01,IRCTC,941.9,953.85,934.8,944.35,1.269,-0.754,0.26,1.269,0.754,0.754,1,1,2020
