Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2022-09-20,IRCTC,699.9,715.0,698.4,706.15,2.157,-0.214,0.893,2.157,0.214,0.214,20,9,2022,0.16,15.4,-0.32,-0.32,0.9968
2022-09-21,IRCTC,707.95,712.95,695.8,700.35,0.706,-1.716,-1.074,1.716,0.706,0.706,21,9,2022,0.16,15.4,-0.32,-0.64,0.9936102400000001
2022-09-22,IRCTC,700.0,705.0,693.1,700.9,0.714,-0.986,0.129,0.986,0.714,0.714,22,9,2022,0.16,15.4,-0.32,-0.96,0.9904306872320001
2022-09-23,IRCTC,703.5,706.85,684.0,685.8,0.476,-2.772,-2.516,2.772,0.476,0.476,23,9,2022,0.16,15.4,-0.32,-1.28,0.9872613090328577
2022-09-26,IRCTC,680.0,681.4,661.0,664.5,0.206,-2.794,-2.279,2.794,0.206,0.206,26,9,2022,0.16,15.4,-0.32,-1.6,0.9841020728439526
2022-09-27,IRCTC,668.0,681.7,664.05,676.65,2.051,-0.591,1.295,2.051,0.591,0.591,27,9,2022,0.16,15.4,-0.32,-1.9200000000000002,0.9809529462108519
2022-09-28,IRCTC,671.9,682.9,666.7,680.1,1.637,-0.774,1.22,1.637,0.774,0.774,28,9,2022,0.16,15.4,-0.32,-2.24,0.9778138967829773
2022-09-29,IRCTC,689.05,712.0,684.5,707.0,3.331,-0.66,2.605,3.331,0.66,0.66,29,9,2022,0.16,15.4,-0.32,-2.56,0.9746848923132717
2022-09-30,IRCTC,705.0,712.0,695.2,706.0,0.993,-1.39,0.142,1.39,0.993,0.993,30,9,2022,0.16,15.4,-0.32,-2.88,0.9715659006578693
2022-10-03,IRCTC,705.95,709.45,700.1,706.15,0.496,-0.829,0.028,0.829,0.496,0.496,3,10,2022,0.16,15.4,-0.32,-3.1999999999999997,0.9684568897757642
2022-10-04,IRCTC,714.0,720.0,708.7,719.25,0.84,-0.742,0.735,0.84,0.742,0.742,4,10,2022,0.16,15.4,-0.32,-3.5199999999999996,0.9653578277284818
2022-10-06,IRCTC,725.8,734.7,720.05,731.25,1.226,-0.792,0.751,1.226,0.792,0.792,6,10,2022,0.16,15.4,-0.32,-3.8399999999999994,0.9622686826797506
2022-10-07,IRCTC,733.0,737.6,724.05,735.25,0.628,-1.221,0.307,1.221,0.628,0.628,7,10,2022,0.16,15.4,-0.32,-4.159999999999999,0.9591894228951755
2022-10-10,IRCTC,725.5,735.45,722.85,731.2,1.371,-0.365,0.786,1.371,0.365,0.365,10,10,2022,0.16,15.4,-0.32,-4.4799999999999995,0.9561200167419109
2022-10-11,IRCTC,735.0,746.6,721.1,725.6,1.578,-1.891,-1.279,1.891,1.578,1.578,11,10,2022,0.16,15.4,-0.32,-4.8,0.9530604326883368
2022-10-12,IRCTC,730.0,734.7,706.55,722.3,0.644,-3.212,-1.055,3.212,0.644,0.644,12,10,2022,0.16,15.4,-0.32,-5.12,0.9500106393037342
2022-10-13,IRCTC,722.0,727.9,711.6,724.1,0.817,-1.44,0.291,1.44,0.817,0.817,13,10,2022,0.16,15.4,-0.32,-5.44,0.9469706052579623
2022-10-14,IRCTC,732.0,733.95,719.4,722.85,0.266,-1.721,-1.25,1.721,0.266,0.266,14,10,2022,0.16,15.4,-0.32,-5.760000000000001,0.9439402993211369
2022-10-17,IRCTC,719.2,729.8,712.35,728.0,1.474,-0.952,1.224,1.474,0.952,0.952,17,10,2022,0.16,15.4,-0.32,-6.080000000000001,0.9409196903633092
2022-10-18,IRCTC,731.65,734.7,725.0,731.15,0.417,-0.909,-0.068,0.909,0.417,0.417,18,10,2022,0.16,15.4,-0.32,-6.400000000000001,0.9379087473541466
2022-10-19,IRCTC,733.0,755.45,730.2,742.8,3.063,-0.382,1.337,3.063,0.382,0.382,19,10,2022,0.16,15.4,-0.32,-6.7200000000000015,0.9349074393626134
2022-10-20,IRCTC,738.95,745.0,725.6,742.65,0.819,-1.807,0.501,1.807,0.819,0.819,20,10,2022,0.16,15.4,-0.32,-7.040000000000002,0.9319157355566531
2022-10-21,IRCTC,743.0,756.0,735.3,743.55,1.75,-1.036,0.074,1.75,1.036,1.036,21,10,2022,0.16,15.4,-0.32,-7.360000000000002,0.9289336052028718
2022-10-24,IRCTC,749.0,750.45,740.05,743.8,0.194,-1.195,-0.694,1.195,0.194,0.194,24,10,2022,0.16,15.4,-0.32,-7.680000000000002,0.9259610176662226
2022-10-25,IRCTC,742.25,747.0,735.6,740.4,0.64,-0.896,-0.249,0.896,0.64,0.64,25,10,2022,0.16,15.4,-0.32,-8.000000000000002,0.9229979424096907
2022-10-27,IRCTC,746.0,746.9,736.8,741.25,0.121,-1.233,-0.637,1.233,0.121,0.121,27,10,2022,0.16,15.4,0.477,-7.5230000000000015,0.9274006425949849
2022-10-28,IRCTC,741.3,744.8,735.25,739.4,0.472,-0.816,-0.256,0.816,0.472,0.472,28,10,2022,0.16,15.4,-0.32,-7.843000000000002,0.924432960538681
2022-10-31,IRCTC,744.0,752.85,738.0,741.2,1.19,-0.806,-0.376,1.19,0.806,0.806,31,10,2022,0.16,15.4,-0.32,-8.163000000000002,0.9214747750649572
2022-11-01,IRCTC,745.0,747.65,739.35,742.25,0.356,-0.758,-0.369,0.758,0.356,0.356,1,11,2022,0.16,15.4,-0.32,-8.483000000000002,0.9185260557847494
2022-11-02,IRCTC,742.0,761.3,738.25,755.45,2.601,-0.505,1.813,2.601,0.505,0.505,2,11,2022,0.16,15.4,-0.32,-8.803000000000003,0.9155867724062383
2022-11-03,IRCTC,751.95,760.0,746.0,751.4,1.071,-0.791,-0.073,1.071,0.791,0.791,3,11,2022,0.16,15.4,-0.32,-9.123000000000003,0.9126568947345384
2022-11-04,IRCTC,752.0,766.45,748.05,758.5,1.922,-0.525,0.864,1.922,0.525,0.525,4,11,2022,0.16,15.4,-0.32,-9.443000000000003,0.9097363926713878
2022-11-07,IRCTC,762.3,774.9,761.5,763.9,1.653,-0.105,0.21,1.653,0.105,0.105,7,11,2022,0.16,15.4,0.04999999999999999,-9.393000000000002,0.9101912608677235
2022-11-09,IRCTC,769.5,771.0,759.5,761.25,0.195,-1.3,-1.072,1.3,0.195,0.195,9,11,2022,0.16,15.4,-0.32,-9.713000000000003,0.9072786488329468
