Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2012-09-20,IBIPL,5.15,5.4,5.1,5.1,4.854,-0.971,-0.971,4.854,0.971,0.971,20,9,2012
2012-09-21,IBIPL,5.25,5.35,5.15,5.35,1.905,-1.905,1.905,1.905,1.905,1.905,21,9,2012
2012-09-24,IBIPL,5.6,5.6,5.25,5.6,0.0,-6.25,0.0,6.25,0.0,0.0,24,9,2012
2012-09-25,IBIPL,5.85,5.85,5.55,5.85,0.0,-5.128,0.0,5.128,0.0,0.0,25,9,2012
2012-09-26,IBIPL,6.1,6.1,5.75,6.1,0.0,-5.738,0.0,5.738,0.0,0.0,26,9,2012
2012-09-27,IBIPL,6.4,6.4,5.8,6.4,0.0,-9.375,0.0,9.375,0.0,0.0,27,9,2012
2012-09-28,IBIPL,6.7,6.7,6.25,6.45,0.0,-6.716,-3.731,6.716,0.0,0.0,28,9,2012
2012-10-01,IBIPL,6.5,6.65,6.25,6.55,2.308,-3.846,0.769,3.846,2.308,2.308,1,10,2012
2012-10-03,IBIPL,6.7,6.85,6.4,6.65,2.239,-4.478,-0.746,4.478,2.239,2.239,3,10,2012
2012-10-04,IBIPL,6.85,6.95,6.65,6.95,1.46,-2.92,1.46,2.92,1.46,1.46,4,10,2012
2012-10-05,IBIPL,7.25,7.25,6.85,7.25,0.0,-5.517,0.0,5.517,0.0,0.0,5,10,2012
2012-10-08,IBIPL,7.5,7.6,6.9,6.9,1.333,-8.0,-8.0,8.0,1.333,1.333,8,10,2012
2012-10-09,IBIPL,6.6,7.15,6.6,6.6,8.333,0.0,0.0,8.333,0.0,0.0,9,10,2012
2012-10-10,IBIPL,6.3,6.5,6.3,6.3,3.175,0.0,0.0,3.175,0.0,0.0,10,10,2012
2012-10-11,IBIPL,6.0,6.4,6.0,6.1,6.667,0.0,1.667,6.667,0.0,0.0,11,10,2012
2012-10-12,IBIPL,6.2,6.4,5.8,6.05,3.226,-6.452,-2.419,6.452,3.226,3.226,12,10,2012
2012-10-15,IBIPL,6.0,6.2,5.75,5.9,3.333,-4.167,-1.667,4.167,3.333,3.333,15,10,2012
2012-10-16,IBIPL,5.95,6.15,5.7,6.1,3.361,-4.202,2.521,4.202,3.361,3.361,16,10,2012
2012-10-17,IBIPL,6.05,6.25,5.95,6.15,3.306,-1.653,1.653,3.306,1.653,1.653,17,10,2012
