Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2022-09-20,RTNINDIA,52.35,53.3,51.05,51.25,1.815,-2.483,-2.101,2.483,1.815,1.815,20,9,2022,0.01,6.4,-0.02,-0.02,0.9998
2022-09-21,RTNINDIA,51.35,52.05,50.3,50.7,1.363,-2.045,-1.266,2.045,1.363,1.363,21,9,2022,0.01,6.4,-0.02,-0.04,0.99960004
2022-09-22,RTNINDIA,50.85,51.15,50.0,50.55,0.59,-1.672,-0.59,1.672,0.59,0.59,22,9,2022,0.01,6.4,-0.02,-0.06,0.9994001199920001
2022-09-23,RTNINDIA,50.85,50.9,49.0,49.6,0.098,-3.638,-2.458,3.638,0.098,0.098,23,9,2022,0.01,6.4,-0.02,-0.08,0.9992002399680017
2022-09-26,RTNINDIA,49.15,49.15,45.9,46.55,0.0,-6.612,-5.29,6.612,0.0,0.0,26,9,2022,0.01,6.4,6.390000000000001,6.3100000000000005,1.063049135301957
2022-09-27,RTNINDIA,46.95,47.55,45.6,46.65,1.278,-2.875,-0.639,2.875,1.278,1.278,27,9,2022,0.01,6.4,-0.02,6.290000000000001,1.0628365254748968
2022-09-28,RTNINDIA,46.4,48.65,45.8,47.05,4.849,-1.293,1.401,4.849,1.293,1.293,28,9,2022,0.01,6.4,-0.02,6.270000000000001,1.0626239581698018
2022-09-29,RTNINDIA,47.75,48.3,46.6,46.95,1.152,-2.408,-1.675,2.408,1.152,1.152,29,9,2022,0.01,6.4,-0.02,6.250000000000002,1.0624114333781678
2022-09-30,RTNINDIA,47.15,47.9,46.35,46.85,1.591,-1.697,-0.636,1.697,1.591,1.591,30,9,2022,0.01,6.4,-0.02,6.230000000000002,1.0621989510914922
2022-10-03,RTNINDIA,47.2,47.8,46.65,47.15,1.271,-1.165,-0.106,1.271,1.165,1.165,3,10,2022,0.01,6.4,-0.02,6.210000000000003,1.0619865113012739
2022-10-04,RTNINDIA,47.7,49.0,47.2,47.95,2.725,-1.048,0.524,2.725,1.048,1.048,4,10,2022,0.01,6.4,-0.02,6.190000000000003,1.0617741139990136
