Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2018-09-21,SUZLON,7.25,7.25,6.45,6.75,0.0,-11.034,-6.897,11.034,0.0,0.0,21,9,2018,0,0,0.0,0.0,1.0
2018-09-24,SUZLON,6.85,6.85,6.45,6.5,0.0,-5.839,-5.109,5.839,0.0,0.0,24,9,2018,0,0,0.0,0.0,1.0
2018-09-25,SUZLON,6.5,6.55,6.0,6.2,0.769,-7.692,-4.615,7.692,0.769,0.769,25,9,2018,0,0,0.0,0.0,1.0
2018-09-26,SUZLON,6.3,6.4,5.95,6.2,1.587,-5.556,-1.587,5.556,1.587,1.587,26,9,2018,0,0,0.0,0.0,1.0
2018-09-27,SUZLON,6.2,6.25,5.9,5.95,0.806,-4.839,-4.032,4.839,0.806,0.806,27,9,2018,0,0,0.0,0.0,1.0
2018-09-28,SUZLON,6.05,6.1,5.3,5.45,0.826,-12.397,-9.917,12.397,0.826,0.826,28,9,2018,0,0,0.0,0.0,1.0
2018-10-01,SUZLON,5.5,5.75,5.05,5.65,4.545,-8.182,2.727,8.182,4.545,4.545,1,10,2018,0,0,0.0,0.0,1.0
2018-10-03,SUZLON,5.65,6.3,5.55,5.9,11.504,-1.77,4.425,11.504,1.77,1.77,3,10,2018,0,0,0.0,0.0,1.0
2018-10-04,SUZLON,5.85,5.9,5.55,5.7,0.855,-5.128,-2.564,5.128,0.855,0.855,4,10,2018,0,0,0.0,0.0,1.0
2018-10-05,SUZLON,5.7,5.85,5.35,5.5,2.632,-6.14,-3.509,6.14,2.632,2.632,5,10,2018,0,0,0.0,0.0,1.0
2018-10-08,SUZLON,5.5,5.65,5.25,5.5,2.727,-4.545,0.0,4.545,2.727,2.727,8,10,2018,0,0,0.0,0.0,1.0
2018-10-09,SUZLON,5.5,5.5,5.3,5.35,0.0,-3.636,-2.727,3.636,0.0,0.0,9,10,2018,0,0,0.0,0.0,1.0
2018-10-10,SUZLON,5.4,5.85,5.35,5.75,8.333,-0.926,6.481,8.333,0.926,0.926,10,10,2018,0,0,0.0,0.0,1.0
2018-10-11,SUZLON,5.5,5.75,5.45,5.55,4.545,-0.909,0.909,4.545,0.909,0.909,11,10,2018,0,0,0.0,0.0,1.0
2018-10-12,SUZLON,5.55,6.05,5.5,5.8,9.009,-0.901,4.505,9.009,0.901,0.901,12,10,2018,0,0,0.0,0.0,1.0
2018-10-15,SUZLON,5.8,6.25,5.7,6.2,7.759,-1.724,6.897,7.759,1.724,1.724,15,10,2018,0,0,0.0,0.0,1.0
