Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2020-09-21,TATAMOTORS,147.75,147.75,135.5,137.45,0.0,-8.291,-6.971,8.291,0.0,0.0,21,9,2020,0.01,6.9,6.890000000000001,6.890000000000001,1.0689
2020-09-22,TATAMOTORS,138.0,138.15,129.65,133.1,0.109,-6.051,-3.551,6.051,0.109,0.109,22,9,2020,0.01,6.9,-0.02,6.870000000000001,1.06868622
2020-09-23,TATAMOTORS,135.5,136.7,127.9,131.4,0.886,-5.609,-3.026,5.609,0.886,0.886,23,9,2020,0.01,6.9,-0.02,6.850000000000001,1.0684724827560002
2020-09-24,TATAMOTORS,127.9,128.8,122.15,122.8,0.704,-4.496,-3.987,4.496,0.704,0.704,24,9,2020,0.01,6.9,-0.02,6.830000000000002,1.068258788259449
2020-09-25,TATAMOTORS,123.7,128.35,123.1,127.25,3.759,-0.485,2.87,3.759,0.485,0.485,25,9,2020,0.01,6.9,-0.02,6.810000000000002,1.068045136501797
2020-09-28,TATAMOTORS,128.9,134.3,127.5,132.85,4.189,-1.086,3.064,4.189,1.086,1.086,28,9,2020,0.01,6.9,-0.02,6.790000000000003,1.0678315274744967
2020-09-29,TATAMOTORS,134.95,136.0,130.7,131.7,0.778,-3.149,-2.408,3.149,0.778,0.778,29,9,2020,0.01,6.9,-0.02,6.770000000000003,1.0676179611690018
2020-09-30,TATAMOTORS,131.55,134.4,130.3,133.3,2.166,-0.95,1.33,2.166,0.95,0.95,30,9,2020,0.01,6.9,-0.02,6.7500000000000036,1.067404437576768
2020-10-01,TATAMOTORS,135.9,136.5,132.55,133.5,0.442,-2.465,-1.766,2.465,0.442,0.442,1,10,2020,0.01,6.9,-0.02,6.730000000000004,1.0671909566892526
2020-10-05,TATAMOTORS,136.95,137.5,132.05,133.9,0.402,-3.578,-2.227,3.578,0.402,0.402,5,10,2020,0.01,6.9,-0.02,6.710000000000004,1.0669775184979147
2020-10-06,TATAMOTORS,138.0,145.8,136.0,144.75,5.652,-1.449,4.891,5.652,1.449,1.449,6,10,2020,0.01,6.9,-0.02,6.690000000000005,1.066764122994215
2020-10-07,TATAMOTORS,144.25,144.5,139.8,141.0,0.173,-3.085,-2.253,3.085,0.173,0.173,7,10,2020,0.01,6.9,-0.02,6.670000000000005,1.0665507701696162
2020-10-08,TATAMOTORS,142.85,143.5,139.6,140.95,0.455,-2.275,-1.33,2.275,0.455,0.455,8,10,2020,0.01,6.9,-0.02,6.650000000000006,1.0663374600155824
2020-10-09,TATAMOTORS,141.15,142.65,138.0,138.45,1.063,-2.232,-1.913,2.232,1.063,1.063,9,10,2020,0.01,6.9,-0.02,6.630000000000006,1.0661241925235794
2020-10-12,TATAMOTORS,139.65,139.65,133.0,135.9,0.0,-4.762,-2.685,4.762,0.0,0.0,12,10,2020,0.01,6.9,2.6750000000000003,9.305000000000007,1.0946430146735853
2020-10-13,TATAMOTORS,135.4,137.1,132.85,134.1,1.256,-1.883,-0.96,1.883,1.256,1.256,13,10,2020,0.01,6.9,-0.02,9.285000000000007,1.0944240860706507
2020-10-14,TATAMOTORS,133.75,134.65,128.8,130.7,0.673,-3.701,-2.28,3.701,0.673,0.673,14,10,2020,0.01,6.9,-0.02,9.265000000000008,1.0942052012534365
2020-10-15,TATAMOTORS,131.5,134.35,126.5,126.95,2.167,-3.802,-3.46,3.802,2.167,2.167,15,10,2020,0.01,6.9,-0.02,9.245000000000008,1.0939863602131858
2020-10-16,TATAMOTORS,129.4,130.05,126.0,127.75,0.502,-2.628,-1.275,2.628,0.502,0.502,16,10,2020,0.01,6.9,-0.02,9.225000000000009,1.0937675629411432
2020-10-19,TATAMOTORS,129.8,130.4,127.8,128.25,0.462,-1.541,-1.194,1.541,0.462,0.462,19,10,2020,0.01,6.9,-0.02,9.205000000000009,1.093548809428555
2020-10-20,TATAMOTORS,128.1,130.3,126.35,129.65,1.717,-1.366,1.21,1.717,1.366,1.366,20,10,2020,0.01,6.9,-0.02,9.18500000000001,1.0933300996666693
2020-10-21,TATAMOTORS,131.05,133.1,128.3,130.25,1.564,-2.098,-0.61,2.098,1.564,1.564,21,10,2020,0.01,6.9,-0.02,9.16500000000001,1.093111433646736
2020-10-22,TATAMOTORS,129.7,134.6,128.45,133.5,3.778,-0.964,2.93,3.778,0.964,0.964,22,10,2020,0.01,6.9,-0.02,9.14500000000001,1.0928928113600067
2020-10-23,TATAMOTORS,134.9,138.9,134.1,137.0,2.965,-0.593,1.557,2.965,0.593,0.593,23,10,2020,0.01,6.9,-0.02,9.12500000000001,1.0926742327977348
2020-10-26,TATAMOTORS,138.4,140.8,131.25,133.7,1.734,-5.166,-3.396,5.166,1.734,1.734,26,10,2020,0.01,6.9,-0.02,9.105000000000011,1.0924556979511753
2020-10-27,TATAMOTORS,134.15,136.75,130.85,135.65,1.938,-2.46,1.118,2.46,1.938,1.938,27,10,2020,0.01,6.9,-0.02,9.085000000000012,1.092237206811585
2020-10-28,TATAMOTORS,139.0,143.25,133.5,134.8,3.058,-3.957,-3.022,3.957,3.058,3.058,28,10,2020,0.01,6.9,-0.02,9.065000000000012,1.0920187593702229
2020-10-29,TATAMOTORS,132.0,133.0,130.0,131.9,0.758,-1.515,-0.076,1.515,0.758,0.758,29,10,2020,0.01,6.9,-0.02,9.045000000000012,1.0918003556183489
2020-10-30,TATAMOTORS,133.2,134.5,130.3,132.65,0.976,-2.177,-0.413,2.177,0.976,0.976,30,10,2020,0.01,6.9,-0.02,9.025000000000013,1.0915819955472252
2020-11-02,TATAMOTORS,133.65,134.0,131.1,132.85,0.262,-1.908,-0.599,1.908,0.262,0.262,2,11,2020,0.01,6.9,-0.02,9.005000000000013,1.0913636791481158
2020-11-03,TATAMOTORS,135.0,137.4,133.55,134.1,1.778,-1.074,-0.667,1.778,1.074,1.074,3,11,2020,0.01,6.9,-0.02,8.985000000000014,1.0911454064122863
2020-11-04,TATAMOTORS,135.6,137.0,134.0,135.9,1.032,-1.18,0.221,1.18,1.032,1.032,4,11,2020,0.01,6.9,-0.02,8.965000000000014,1.0909271773310039
2020-11-05,TATAMOTORS,137.0,138.0,136.0,137.65,0.73,-0.73,0.474,0.73,0.73,0.73,5,11,2020,0.01,6.9,-0.02,8.945000000000014,1.0907089918955377
2020-11-06,TATAMOTORS,137.65,142.3,137.65,139.0,3.378,0.0,0.981,3.378,0.0,0.0,6,11,2020,0.01,6.9,0.971,9.916000000000015,1.1012997762068435
2020-11-09,TATAMOTORS,140.6,141.5,138.7,141.0,0.64,-1.351,0.284,1.351,0.64,0.64,9,11,2020,0.01,6.9,-0.02,9.896000000000015,1.101079516251602
