symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider
ADANIENT,1,2017,77.8,93.9,75.8,87.15,20.694,-2.571,12.018,20.694,2.571,2.571
ADANIENT,2,2017,88.0,100.75,87.2,98.5,14.489,-0.909,11.932,14.489,0.909,0.909
ADANIENT,3,2017,99.0,110.2,92.75,108.55,11.313,-6.313,9.646,11.313,6.313,6.313
ADANIENT,4,2017,108.85,160.7,107.3,108.95,47.634,-1.424,0.092,47.634,1.424,1.424
ADANIENT,5,2017,109.85,126.8,106.55,116.8,15.43,-3.004,6.327,15.43,3.004,3.004
ADANIENT,6,2017,117.2,136.7,116.25,132.6,16.638,-0.811,13.14,16.638,0.811,0.811
ADANIENT,7,2017,132.4,144.35,131.2,137.9,9.026,-0.906,4.154,9.026,0.906,0.906
ADANIENT,8,2017,137.9,143.85,104.8,132.55,4.315,-24.003,-3.88,24.003,4.315,4.315
ADANIENT,9,2017,132.75,138.85,113.15,116.3,4.595,-14.765,-12.392,14.765,4.595,4.595
ADANIENT,10,2017,116.55,136.4,110.35,132.3,17.031,-5.32,13.514,17.031,5.32,5.32
ADANIENT,11,2017,132.8,162.0,131.85,146.6,21.988,-0.715,10.392,21.988,0.715,0.715
ADANIENT,12,2017,147.0,169.35,131.75,166.35,15.204,-10.374,13.163,15.204,10.374,10.374
ADANIENT,1,2018,165.8,220.5,162.15,213.2,32.992,-2.201,28.589,32.992,2.201,2.201
ADANIENT,2,2018,213.0,223.5,182.7,203.55,4.93,-14.225,-4.437,14.225,4.93,4.93
ADANIENT,3,2018,203.55,206.7,148.7,156.4,1.548,-26.947,-23.164,26.947,1.548,1.548
ADANIENT,4,2018,157.3,166.4,126.25,140.1,5.785,-19.739,-10.935,19.739,5.785,5.785
ADANIENT,5,2018,140.35,141.5,115.65,121.0,0.819,-17.599,-13.787,17.599,0.819,0.819
ADANIENT,6,2018,121.0,137.2,108.7,113.15,13.388,-10.165,-6.488,13.388,10.165,10.165
ADANIENT,7,2018,112.8,206.75,100.85,195.45,83.289,-10.594,73.271,83.289,10.594,10.594
ADANIENT,8,2018,196.0,236.65,179.0,225.25,20.74,-8.673,14.923,20.74,8.673,8.673
ADANIENT,9,2018,226.0,227.4,125.6,130.6,0.619,-44.425,-42.212,44.425,0.619,0.619
ADANIENT,10,2018,127.0,176.7,121.35,170.0,39.134,-4.449,33.858,39.134,4.449,4.449
ADANIENT,11,2018,171.05,179.5,154.25,165.0,4.94,-9.822,-3.537,9.822,4.94,4.94
ADANIENT,12,2018,166.05,168.5,134.5,161.0,1.475,-19.0,-3.041,19.0,1.475,1.475
ADANIENT,1,2019,160.9,162.35,155.45,157.25,0.901,-3.387,-2.268,3.387,0.901,0.901
